frag	phylostrata	avg_mainAge
1_115624407_115634633	6	EM
1_1160798_1206873	3.25	EM
1_116513092_116520426	6	EM
1_116653135_116655676	8	EM
1_116914319_116919284	2	UC
1_117109278_117115886	8	EM
1_117208345_117212041	8	EM
1_117222261_117237378	15	MM
1_11722754_11727775	6	EM
1_117292351_117299605	8	EM
1_117450148_117454207	8	EM
1_11750936_11763560	5	EM
1_117542531_117544805	8	EM
1_117602664_117607113	2	UC
1_117637164_117639155	2	UC
1_117662394_117665616	6	EM
1_117749676_117753748	8	EM
1_117904560_117911575	2	UC
1_11793489_11797297	15	MM
1_118143091_118150054	4	EM
1_11820484_11826131	12	MM
1_118471117_118475286	2	UC
1_11864904_11872489	3	UC
1_11901356_11913795	8	EM
1_119529348_119533003	5	EM
1_119680883_119688624	1	UC
1_11980154_11990122	4	EM
1_119907842_119911992	1	UC
1_120187206_120194235	10	MM
1_120198229_120204300	1	UC
1_120309927_120314091	1	UC
1_12034073_12041913	1	UC
1_120353123_120358399	9	EM
1_120431471_120440812	10	MM
1_12065739_12080397	9	EM
1_1206874_1212438	2	UC
1_1212439_1220554	10	MM
1_12225212_12232633	8	EM
1_12288289_12294700	4	EM
1_1239426_1278099	2.8	UC
1_12673527_12691643	3	UC
1_12700924_12716452	8	EM
1_12801845_12807472	4	EM
1_1283837_1305518	6	EM
1_1309969_1313315	5	EM
1_1364314_1373173	8	EM
1_13905567_13912090	9	EM
1_14019820_14033291	8	EM
1_145074317_145077348	8	EM
1_145411681_145413459	8	EM
1_145427517_145441089	8	EM
1_145451473_145470528	6	EM
1_145472456_145477703	5	EM
1_145503235_145513770	2	UC
1_145513771_145516282	2	UC
1_145520504_145527491	4.5	EM
1_145546608_145551233	2	UC
1_145569758_145575726	2	UC
1_145606188_145621927	2	UC
1_145714349_145725258	12	MM
1_145725259_145730005	4	EM
1_146642039_146658439	2	UC
1_146707850_146725883	1.5	UC
1_147013180_147018348	8	EM
1_147138865_147143119	2	UC
1_147227379_147237217	8	EM
1_147243015_147253375	8	EM
1_147374663_147381416	8	EM
1_149812977_149815602	2	UC
1_149821721_149823965	2	UC
1_149848366_149858434	2	UC
1_149858435_149862569	1.5	UC
1_149878034_149894445	2	UC
1_149898260_149901801	2	UC
1_149907731_149919378	8	EM
1_149981982_149999914	5	EM
1_150038459_150040151	2	UC
1_150197567_150222006	2	UC
1_150227107_150235704	6	EM
1_150238754_150249500	6.5	EM
1_150252819_150268232	6	EM
1_150277789_150297885	2	UC
1_150458035_150460879	1	UC
1_150471773_150480605	4.5	EM
1_150501621_150544031	10	MM
1_1505407_1516638	2	UC
1_150598124_150602418	8	EM
1_150663458_150679458	2	UC
1_150692032_150694111	2	UC
1_150769819_150781269	2	UC
1_150847468_150859624	4	EM
1_150942306_150946807	2	UC
1_150946808_150952484	2	UC
1_150953569_150972230	6.5	EM
1_150977625_150989820	2	UC
1_150989821_150997494	2	UC
1_151013687_151022712	11	MM
1_151029436_151039451	8	EM
1_151039452_151048583	5	EM
1_151118832_151121211	4	EM
1_151127851_151129135	8	EM
1_151134275_151143226	2.5	UC
1_151145842_151154251	8	EM
1_151219410_151234036	2	UC
1_151246649_151254382	6	EM
1_151297773_151300992	2	UC
1_151309060_151322692	6	EM
1_151333183_151350265	1	UC
1_151368335_151375895	2	UC
1_151427825_151434308	6	EM
1_151478606_151483209	8	EM
1_151496436_151509686	8	EM
1_151512436_151516083	8	EM
1_151583021_151588065	4	EM
1_151672272_151686065	2	UC
1_151687246_151690164	2	UC
1_151731826_151740226	6.5	EM
1_151763245_151770490	4	EM
1_151775480_151780089	11	MM
1_151793294_151807827	11	MM
1_151812040_151814543	13	MM
1_151821743_151830754	10	MM
1_151879964_151884233	4	EM
1_151964788_151970527	8	EM
1_152018295_152026361	9	EM
1_152085441_152087285	1	UC
1_152130894_152132750	10	MM
1_152185275_152199515	2	UC
1_152297147_152303162	2	UC
1_152329974_152335495	2	UC
1_152386391_152386968	8	EM
1_152484846_152488465	13	MM
1_152535423_152540397	15	MM
1_152552741_152558772	15	MM
1_152678657_152681148	14	MM
1_152728566_152733204	7	EM
1_152813088_152816747	14	MM
1_152843096_152861125	12	MM
1_152878549_152884732	12	MM
1_152939800_152943517	13	MM
1_152953686_152957540	2	UC
1_152972545_152975171	5	EM
1_153174920_153183534	5	EM
1_153189952_153193207	12	MM
1_153231216_153235272	2	UC
1_153277202_153289103	6	EM
1_153315280_153325365	6	EM
1_153329475_153330482	9	EM
1_153342367_153348195	12	MM
1_153387259_153389537	11	MM
1_1533887_1545982	13	MM
1_153495077_153523136	9.75	EM
1_153536569_153543043	10	MM
1_153585136_153591292	11	MM
1_153599452_153610732	6	EM
1_153621935_153636394	4	EM
1_153636395_153649058	4	EM
1_153649059_153654305	2	UC
1_153743839_153751414	11	MM
1_153893802_153902760	4	EM
1_153917401_153921883	2	UC
1_153923538_153935288	8	EM
1_153936971_153941439	5	EM
1_153941440_153950377	6	EM
1_153956792_153974010	4.5	EM
1_154171924_154179648	5	EM
1_154191252_154201714	4.5	EM
1_154221516_154231251	5	EM
1_154232124_154237904	5	EM
1_154237905_154247106	5	EM
1_154290327_154302481	1.5	UC
1_154473486_154475771	9.5	EM
1_154521938_154528817	2	UC
1_154529331_154539787	2	UC
1_154539788_154542003	7	EM
1_154596617_154601605	5	EM
1_1545983_1552729	5	EM
1_15474912_15486370	8	EM
1_154831781_154845885	2	UC
1_154893404_154930322	4.5	EM
1_154931357_154937470	6	EM
1_154937471_154948600	3.5	EM
1_154953506_154955903	2	UC
1_15495408_15502593	15	MM
1_154962768_154966649	7	EM
1_154968506_154982940	8	EM
1_155003921_155013781	6	EM
1_155013782_155025327	11	MM
1_155036065_155037484	7	EM
1_155095258_155101200	8	EM
1_155106895_155107880	2	UC
1_155110904_155137257	2	UC
1_155145634_155154579	5	EM
1_155178223_155179854	1.5	UC
1_155219223_155237483	2	UC
1_155246372_155256254	2	UC
1_155274518_155280101	1	UC
1_155290566_155305109	8	EM
1_155313410_155317418	3	UC
1_155511526_155540995	3	UC
1_155649989_155662591	4	EM
1_155819269_155829608	5	EM
1_155887793_155893439	2	UC
1_155903675_155912810	6.5	EM
1_155945236_155971079	8	EM
1_156011183_156025678	3	UC
1_156027629_156033680	8	EM
1_156038290_156072478	2	UC
1_156107982_156121315	10	MM
1_156171594_156193276	3	UC
1_156208305_156216308	8	EM
1_156216309_156218479	4	EM
1_156264871_156268651	4	EM
1_156305797_156317165	6	EM
1_156336818_156341592	1	UC
1_156380226_156393721	15	MM
1_156393868_156401172	15	MM
1_156467805_156490786	2	UC
1_156542064_156544514	2	UC
1_156548152_156549805	4	EM
1_156582371_156589766	8	EM
1_156595211_156618276	6	EM
1_156622326_156650015	7	EM
1_156668090_156682728	8	EM
1_15667944_15673815	5	EM
1_156696068_156699449	3.5	EM
1_156707018_156715899	4.5	EM
1_156715900_156723106	6	EM
1_156736011_156736869	8	EM
1_156778196_156789753	7.5	EM
1_156828053_156831113	5	EM
1_15722210_15736883	4	EM
1_157507278_157532770	11	MM
1_157567842_157569015	11	MM
1_157788282_157791022	12	MM
1_157959598_157965344	6	EM
1_158149089_158156432	9	EM
1_158220701_158225852	12	MM
1_15826428_15855325	5	EM
1_158301274_158301582	12	MM
1_158366214_158371033	6	EM
1_158389946_158390992	10	MM
1_158449249_158453102	11	MM
1_158515572_158518051	11	MM
1_158532916_158533816	11	MM
1_158745645_158749877	12	MM
1_158898553_158901861	12	MM
1_158955834_158972247	12	MM
1_15908460_15915579	1	UC
1_159135977_159142424	8	EM
1_159169280_159178503	11	MM
1_159249689_159260390	11	MM
1_159408575_159410659	11	MM
1_15942535_15948857	2	UC
1_159504607_159509887	12	MM
1_159557037_159559660	8	EM
1_159681217_159685279	8	EM
1_159749526_159753587	1	UC
1_159768852_159774121	12	MM
1_159793198_159817661	11	MM
1_15985644_15986908	10	MM
1_159865434_159872098	2	UC
1_159893559_159897813	6	EM
1_159905502_159916307	6	EM
1_159922674_159926759	11	MM
1_159999853_160005078	2	UC
1_160046112_160054861	8	EM
1_160065149_160070212	8	EM
1_160077389_160095302	2	UC
1_160119385_160123791	2	UC
1_160150193_160165896	5	EM
1_160172248_160175765	8	EM
1_160227453_160235266	2	UC
1_160250768_160255057	2	UC
1_160255058_160260819	2	UC
1_160305096_160314806	2	UC
1_160330433_160344885	5	EM
1_160368453_160372113	4	EM
1_160492674_160495811	12	MM
1_160548847_160554584	8	EM
1_16059770_16064295	2	UC
1_160616806_160628001	9	EM
1_16064296_16081772	5	EM
1_160680987_160683126	10	MM
1_160703462_160714814	12	MM
1_160764655_160771334	9	EM
1_16081773_16086736	8	EM
1_160830605_160832704	12	MM
1_160850290_160854981	7	EM
1_160921494_160946244	7	EM
1_161014904_161016196	6	EM
1_161037045_161052923	7	EM
1_161057976_161060752	6	EM
1_161067306_161076002	5	EM
1_161077236_161092374	1.5	UC
1_161097841_161106025	8	EM
1_161119503_161135966	2	UC
1_161135967_161164078	3.5	EM
1_161164079_161175399	3	UC
1_161181137_161187572	4.5	EM
1_161191376_161194328	11	MM
1_161194329_161208294	6.5	EM
1_161279245_161283730	8	EM
1_161283731_161291518	1	UC
1_161333287_161342877	4	EM
1_161475215_161475902	12	MM
1_161674767_161677875	12	MM
1_161688463_161695703	10	MM
1_16170816_16186303	4	EM
1_161719355_161719971	2	UC
1_161730087_161738988	4	EM
1_162037369_162059915	5	EM
1_162368596_162382109	8	EM
1_162461812_162468672	5	EM
1_162518511_162532617	1	UC
1_162582648_162601830	4	EM
1_16321496_16331357	12	MM
1_16331358_16347268	8	EM
1_16358634_16372517	8	EM
1_16395667_16408325	8	EM
1_16467015_16485102	4	EM
1_165325652_165330318	3	UC
1_16538420_16542892	8	EM
1_165413327_165420819	4	EM
1_16555003_16560581	15	MM
1_165595523_165601808	2	UC
1_16560582_16564476	4	EM
1_165667631_165668780	1	UC
1_165735279_165738575	2	UC
1_165796567_165798584	1.5	UC
1_165865525_165870018	1	UC
1_16677336_16682249	4	EM
1_166802120_166812240	2	UC
1_166840743_166852491	4	EM
1_166943297_166950891	8	EM
1_166955955_166958971	6	EM
1_167056089_167060383	8	EM
1_167060384_167066526	8	EM
1_167187457_167198973	6	EM
1_167521892_167524978	2	UC
1_167597892_167601065	8	EM
1_16763583_16765770	12	MM
1_16765771_16774097	2	UC
1_167690219_167692255	8	EM
1_167903557_167906918	2	UC
1_168147251_168151549	2	UC
1_168191721_168196054	2	UC
1_168250133_168253211	6	EM
1_168697806_168701048	5	EM
1_169070988_169080524	4	EM
1_169330748_169340984	3	UC
1_169427810_169430405	4	EM
1_169452881_169463128	2	UC
1_169547926_169559316	4	EM
1_169676589_169682401	5	EM
1_169702409_169706363	8	EM
1_169763395_169765497	3	UC
1_169856423_169865865	4	EM
1_170496959_170507422	2	UC
1_170628770_170638013	6	EM
1_170897520_170904764	10	MM
1_1709350_1729790	1.5	UC
1_171152014_171167350	1	UC
1_171215330_171220342	1	UC
1_171281897_171284626	9	EM
1_171454475_171457478	6	EM
1_171486472_171492731	6	EM
1_171619837_171626433	8	EM
1_171707468_171712374	2	UC
1_171750038_171751187	1	UC
1_172387710_172398056	12	MM
1_172410203_172413803	2	UC
1_172499181_172503403	2	UC
1_173017785_173022242	10	MM
1_173175862_173177205	9	EM
1_17336957_17340482	2	UC
1_173446162_173447978	1	UC
1_173676841_173686744	4	EM
1_17370286_17387431	1	UC
1_173792836_173793707	3	UC
1_173793708_173796178	3	UC
1_173833171_173838808	8	EM
1_173884346_173890652	8	EM
1_173988669_173994478	4	EM
1_174127094_174132879	4	EM
1_17441219_17449501	8	EM
1_174965882_174969671	2	UC
1_175706692_175713072	2	UC
1_17573271_17575857	8	EM
1_176175280_176183158	2	UC
1_17751756_17766957	2	UC
1_178061630_178066304	5	EM
1_178481614_178484885	12	MM
1_178500099_178517683	15	MM
1_17864698_17872687	5	EM
1_178691659_178696167	4	EM
1_178832411_178842619	6	EM
1_178991018_178996493	5	EM
1_179043494_179052963	8	EM
1_179196747_179205715	5	EM
1_179327211_179337053	4	EM
1_179841501_179850506	8	EM
1_179922323_179932433	4	EM
1_180119332_180128501	2	UC
1_180471076_180472609	2	UC
1_180579784_180609122	2	UC
1_180874955_180883137	5	EM
1_181002457_181004704	8	EM
1_181045928_181059662	6	EM
1_182022246_182036793	12	MM
1_1820953_1830463	2	UC
1_182354704_182363894	1	UC
1_182366080_182374429	12	MM
1_182557133_182558476	9	EM
1_182567651_182590376	8	EM
1_182757765_182764391	1	UC
1_182805931_182812261	2	UC
1_182989144_182996819	1	UC
1_183603949_183607660	3	UC
1_183617847_183623243	9	EM
1_18426276_18441405	8	EM
1_184723626_184725585	4	EM
1_184942210_184950629	8	EM
1_185013354_185017963	2	UC
1_185119561_185131508	5	EM
1_185284681_185295856	6	EM
1_185699171_185712502	1	UC
1_186263121_186266799	8	EM
1_186342515_186349386	2	UC
1_186416900_186424045	8	EM
1_186427513_186430980	8	EM
1_18806440_18810128	8	EM
1_18955828_18960379	6	EM
1_19219463_19229345	1	UC
1_192543821_192547525	2	UC
1_192604110_192606784	10	MM
1_192774793_192779385	8	EM
1_1927763_1955954	5	EM
1_19281467_19284535	8	EM
1_193025896_193031393	1.5	UC
1_193073030_193078995	1	UC
1_193078996_193092305	2	UC
1_193155464_193155851	5	EM
1_19531652_19537425	2	UC
1_19575369_19581661	2	UC
1_19631463_19651532	2	UC
1_196574453_196578767	5	EM
1_196618683_196622049	9	EM
1_197035639_197053771	9	EM
1_197112800_197121691	2	UC
1_197169416_197180141	5	EM
1_197867166_197874611	1	UC
1_197874612_197883295	2.5	UC
1_198125236_198128040	2	UC
1_198501177_198511316	9	EM
1_19965667_19968102	4	EM
1_19986147_19994505	8	EM
1_199996284_199999730	4	EM
1_200363886_200384460	8	EM
1_200588010_200591661	5	EM
1_200638875_200642313	2	UC
1_200704973_200710789	2	UC
1_200841100_200846127	8	EM
1_200847010_200860398	8	EM
1_201076237_201085829	2	UC
1_201176455_201194813	8	EM
1_201251703_201258480	8	EM
1_201366622_201374522	8	EM
1_20140001_20141953	11	MM
1_201430507_201445015	8	EM
1_201465947_201482239	2	UC
1_201591931_201593065	4	EM
1_201796737_201798955	2	UC
1_201914619_201919078	8	EM
1_201922926_201925200	2	UC
1_20194553_20209798	2	UC
1_201974651_201986030	6	EM
1_202107479_202133224	5	EM
1_202149187_202172385	6	EM
1_20247143_20260754	9	EM
1_202678949_202682974	4	EM
1_202775897_202782528	2	UC
1_202926054_202928210	1	UC
1_202933959_202937358	1	UC
1_202976042_202976994	5	EM
1_202988778_202999244	4	EM
1_20301548_20307716	5	EM
1_203239241_203243454	1	UC
1_203268404_203277227	6	EM
1_203319882_203323128	8	EM
1_203459656_203475784	8	EM
1_203595621_203609271	2	UC
1_203720009_203741285	10	MM
1_203760674_203765855	3	UC
1_203825444_203835041	2	UC
1_204109309_204117900	1	UC
1_204117901_204126526	1	UC
1_204132773_204136354	2	UC
1_204176179_204183485	11	MM
1_204225182_204248117	8	EM
1_204324423_204331534	8	EM
1_204378332_204383548	8	EM
1_204462957_204467369	2	UC
1_204485125_204486493	8	EM
1_20458341_20473891	4	EM
1_204796984_204800152	4	EM
1_20503783_20504897	11	MM
1_205090640_205097323	2	UC
1_20509799_20518010	4	EM
1_205194031_205199512	4	EM
1_205321806_205328232	5	EM
1_205536217_205540866	5	EM
1_205592907_205601455	6	EM
1_205714903_205723887	8	EM
1_205739608_205748177	5	EM
1_205778111_205783431	1	UC
1_205817489_205819573	1	UC
1_205903639_205904964	9	EM
1_205911652_205916009	9	EM
1_206222001_206227056	9	EM
1_206285309_206292805	12	MM
1_206314485_206324803	2	UC
1_206639384_206655726	5	EM
1_206667457_206676538	14	MM
1_206680498_206684374	7	EM
1_206784719_206788448	2	UC
1_206808181_206809188	2	UC
1_206846623_206862925	4	EM
1_206945005_206946550	8	EM
1_206971832_206976797	10	MM
1_207038127_207044657	8	EM
1_207068595_207073429	10	MM
1_207095325_207114941	9.5	EM
1_207114942_207135528	9	EM
1_207142387_207145582	10	MM
1_207203372_207209098	8	EM
1_207221568_207223320	1	UC
1_207226202_207226352	2	UC
1_207260202_207272701	11	MM
1_207275723_207277802	8	EM
1_207491500_207495827	11	MM
1_207626422_207631615	10	MM
1_207659875_207672993	5	EM
1_207922749_207925841	12	MM
1_208081978_208089426	9	EM
1_20809456_20815185	8	EM
1_20815186_20837976	2	UC
1_208411486_208418750	4	EM
1_20957328_20968124	4	EM
1_209756686_209758171	2	UC
1_209823579_209826397	8	EM
1_209856272_209862015	1	UC
1_20986446_20993659	2	UC
1_209917292_209934418	9	EM
1_209955276_209959693	5	EM
1_209975584_209980570	8	EM
1_210000236_210003562	2	UC
1_21049762_21060670	8	EM
1_21112234_21114520	8	EM
1_211302811_211313392	2	UC
1_211431240_211438658	4	EM
1_211492935_211503273	2	UC
1_211744661_211769011	2	UC
1_211848363_211851509	2	UC
1_212208814_212217647	3	UC
1_212456635_212461673	2	UC
1_212583008_212588513	8	EM
1_212605695_212625891	2	UC
1_212730395_212744161	3	UC
1_212797173_212806521	10	MM
1_212871489_212874427	8	EM
1_212964495_212974780	4.5	EM
1_213119706_213124490	2	UC
1_213184840_213190655	2	UC
1_213224571_213229950	4	EM
1_2143648_2147289	12	MM
1_214448985_214466335	2	UC
1_214775801_214777074	1	UC
1_2155766_2166195	4	EM
1_21619617_21627645	1	UC
1_21670022_21674589	1	UC
1_217804009_217813300	3.5	EM
1_218450627_218462653	2	UC
1_218516401_218521986	7	EM
1_219345885_219348317	4	EM
1_220130130_220132335	2	UC
1_220214228_220224682	1	UC
1_220260540_220279170	1	UC
1_220294353_220320720	1	UC
1_220443630_220447347	2	UC
1_220860191_220866775	8	EM
1_220918742_220927949	1	UC
1_221051343_221058921	5	EM
1_22108302_22111128	2	UC
1_221910905_221918304	2	UC
1_222714107_222721849	1	UC
1_222762923_222764546	4	EM
1_222788116_222792009	6	EM
1_222876630_222892130	2	UC
1_222909496_222912566	10	MM
1_222987149_222993929	2	UC
1_223314392_223318239	8	EM
1_22378592_22379984	3	UC
1_223878060_223894473	2	UC
1_224032489_224034632	5	EM
1_224357606_224378386	2	UC
1_224484971_224500605	2	UC
1_224510175_224524807	2	UC
1_224543448_224546174	2	UC
1_224617641_224631198	5	EM
1_22466747_22478213	5	EM
1_225077886_225085579	2	UC
1_225596388_225605175	2	UC
1_225616610_225618195	2	UC
1_225828567_225842336	5	EM
1_225963986_225965688	2	UC
1_225996792_226001567	3	UC
1_226062947_226070974	2	UC
1_226098282_226100464	7	EM
1_226110293_226136406	4	EM
1_226186235_226202244	2	UC
1_226246277_226250969	2	UC
1_226364150_226376557	4	EM
1_226403445_226414449	9	EM
1_226594644_226601149	2	UC
1_226912771_226933958	4	EM
1_227055367_227058995	2	UC
1_228193804_228205554	5	EM
1_228264821_228272613	2	UC
1_228284922_228293541	2	UC
1_228326248_228354840	4.5	EM
1_228399082_228402631	15	MM
1_228587629_228602025	8	EM
1_228602451_228610237	12	MM
1_228637113_228649738	2	UC
1_228656412_228682399	12	MM
1_228870040_228874954	6	EM
1_229406345_229407837	2	UC
1_229439373_229440739	14	MM
1_229477418_229479257	4	EM
1_229562492_229571968	2	UC
1_22962784_22972844	8	EM
1_229666129_229677620	1	UC
1_229692817_229697283	1	UC
1_22974711_22980184	9	EM
1_229759689_229763411	4.5	EM
1_230192576_230193586	4	EM
1_230766387_230778752	2	UC
1_230879505_230883594	2	UC
1_230991032_231009181	6	EM
1_231155063_231165794	8	EM
1_231174383_231177605	8	EM
1_231293104_231315367	4	EM
1_231372947_231381939	1	UC
1_231471476_231473844	2.5	UC
1_231555189_231560978	1	UC
1_231663379_231668764	2	UC
1_231759856_231766875	8	EM
1_2319572_2324377	2	UC
1_232696487_232699460	2	UC
1_23339692_23351051	2	UC
1_233429553_233433818	4	EM
1_233459768_233467652	2	UC
1_2335725_2351765	2	UC
1_233743115_233757019	5	EM
1_234603097_234616699	2	UC
1_234740384_234749444	6	EM
1_23498429_23509083	8	EM
1_23521149_23521709	6	EM
1_235290218_235295119	3	UC
1_235488356_235497673	2.5	UC
1_2354920_2357804	2	UC
1_235527256_235530753	2	UC
1_235811321_235821594	8	EM
1_236046789_236051432	4	EM
1_236222973_236230649	4	EM
1_236302483_236306046	2	UC
1_236439676_236449997	2	UC
1_236511438_236514535	8	EM
1_236680264_236681524	6	EM
1_236684384_236690335	6	EM
1_236765525_236767873	2	UC
1_236840537_236853707	2	UC
1_236957652_236963344	1	UC
1_237202483_237207268	4	EM
1_23805982_23815187	2	UC
1_23851717_23859128	2	UC
1_2387105_2417285	2	UC
1_23884168_23886661	8	EM
1_23903672_23918990	15	MM
1_239542851_239552586	6	EM
1_24016423_24020514	1	UC
1_24065494_24076385	4	EM
1_24102972_24113979	2	UC
1_24116095_24117999	1	UC
1_24118378_24129034	1	UC
1_241518669_241523730	4	EM
1_241682071_241685450	1	UC
1_241691478_241699238	2	UC
1_241798766_241801985	2	UC
1_241814345_241816107	4	EM
1_241839949_241841764	8	EM
1_24190943_24206180	1	UC
1_242008582_242013625	2	UC
1_242162256_242172273	4	EM
1_242686190_242688939	8	EM
1_24283735_24287861	8	EM
1_24292785_24308528	2	UC
1_243417103_243427310	4	EM
1_24387880_24394506	7	EM
1_244009552_244019722	2	UC
1_244209938_244215520	7	EM
1_24469097_24474112	9	EM
1_244993236_245000253	4	EM
1_24505108_24516772	8	EM
1_245316418_245321109	4	EM
1_2458433_2495896	8	EM
1_246723963_246730494	6	EM
1_246885512_246888376	1	UC
1_247236709_247243142	14	MM
1_247264297_247270058	14	MM
1_24742131_24742860	4	EM
1_247490987_247500583	11	MM
1_247607429_247618462	11	MM
1_247830516_247838432	11	MM
1_247871990_247879665	11	MM
1_247886641_247887650	13	MM
1_247899764_247903456	8	EM
1_247919260_247924487	14	MM
1_247976548_247980162	8	EM
1_248002259_248005693	11	MM
1_248019374_248021602	10	MM
1_248025769_248033451	11	MM
1_248082818_248087863	12	MM
1_248093428_248098101	11	MM
1_248098102_248103786	12	MM
1_248180839_248194724	11	MM
1_248195023_248211273	11	MM
1_248221877_248227803	11	MM
1_24828117_24830589	6	EM
1_248342754_248343994	12	MM
1_248402185_248410215	15	MM
1_248419807_248438241	12	MM
1_248512060_248515007	8	EM
1_248524853_248526622	11	MM
1_248568101_248573803	11	MM
1_24869385_24884688	9	EM
1_248787896_248790556	11	MM
1_248842259_248845832	11	MM
1_249118709_249129213	4	EM
1_249142615_249158300	8	EM
1_249198399_249202839	5	EM
1_24956915_24958408	2	UC
1_24992621_24996135	2	UC
1_25065113_25079153	8	EM
1_2514865_2526252	1.5	UC
1_25273787_25293947	8	EM
1_25869153_25874760	5	EM
1_25938885_25949721	2	UC
1_26231727_26235442	4	EM
1_26322524_26326094	2	UC
1_26342120_26347012	11	MM
1_26436399_26441817	4	EM
1_26482010_26491550	9	EM
1_26495199_26499657	2	UC
1_26499658_26520728	6.5	EM
1_26554159_26561529	4	EM
1_26643927_26645883	7	EM
1_26677864_26685407	8	EM
1_26690647_26702056	3	UC
1_26733711_26742821	6	EM
1_26756394_26765144	1	UC
1_26796595_26803799	8	EM
1_26855141_26864507	2	UC
1_26877973_26882598	2	UC
1_2696923_2710654	5	EM
1_27018057_27027743	4	EM
1_27112453_27115733	2	UC
1_27147799_27154952	2	UC
1_27188039_27194264	10	MM
1_27215705_27222427	3	UC
1_27222428_27228699	3	UC
1_27285400_27287218	8	EM
1_27559582_27562387	2	UC
1_27643559_27651232	2	UC
1_27667759_27678358	8	EM
1_27680897_27713788	7.33333333333333	EM
1_27714328_27723790	10	MM
1_27814873_27820359	8	EM
1_27928426_27931673	8	EM
1_27997241_28009619	10	MM
1_28051526_28056536	2	UC
1_28150276_28159491	2	UC
1_28184682_28203673	8	EM
1_28284312_28303696	8	EM
1_28408564_28415241	6	EM
1_28511770_28522951	8	EM
1_28522952_28531626	15	MM
1_28549095_28561123	2	UC
1_28561124_28564810	4	EM
1_28584972_28592787	11	MM
1_28689801_28697667	8	EM
1_28875368_28879982	2	UC
1_28914046_28927229	10	MM
1_28968733_28983358	2	UC
1_29062514_29066919	2	UC
1_29125292_29145455	8	EM
1_29210618_29232035	4	EM
1_2927637_2944794	10	MM
1_29477518_29490888	2	UC
1_29505251_29512554	2	UC
1_29544754_29551670	1	UC
1_29555189_29557835	1	UC
1_29558588_29567345	3	UC
1_31188386_31193343	5	EM
1_31193344_31205317	5	EM
1_31379889_31383989	8	EM
1_31405693_31421067	2	UC
1_31537431_31538897	2	UC
1_31698879_31716822	5	EM
1_31881947_31884507	2	UC
1_32035875_32051119	6	EM
1_32083124_32095490	4	EM
1_32106422_32114565	2	UC
1_32118197_32135719	1	UC
1_32226064_32230497	5	EM
