GeneID	gene_id	Entrez	Phylostrata	mainAge
ATP6V0A4	ENSG00000105929	50617	1	UC
GSTZ1	ENSG00000100577	2954	1	UC
DPYS	ENSG00000147647	1807	1	UC
NARS	ENSG00000134440	4677	1	UC
POLR2J	ENSG00000005075	5439	1	UC
ABCA8	ENSG00000141338	10351	1	UC
NOP56	ENSG00000101361	10528	1	UC
HADHB	ENSG00000138029	3032	1	UC
SGPP2	ENSG00000163082	130367	1	UC
PRDX4	ENSG00000123131	10549	1	UC
B3GNTL1	ENSG00000175711	146712	1	UC
DECR2	ENSG00000242612	26063	1	UC
CA2	ENSG00000104267	760	1	UC
ADD2	ENSG00000075340	119	1	UC
PTGR2	ENSG00000140043	145482	1	UC
YDJC	ENSG00000161179	150223	1	UC
HSD17B13	ENSG00000170509	345275	1	UC
ADPRM	ENSG00000170222	56985	1	UC
OTC	ENSG00000036473	5009	1	UC
RARS2	ENSG00000146282	57038	1	UC
NSDHL	ENSG00000147383	50814	1	UC
STT3A	ENSG00000134910	3703	1	UC
NAMPTL	ENSG00000229644	0	1	UC
PDXK	ENSG00000160209	8566	1	UC
ASPH	ENSG00000198363	444	1	UC
DPYSL2	ENSG00000092964	1808	1	UC
CDKN3	ENSG00000100526	1033	1	UC
MCCC1	ENSG00000078070	56922	1	UC
ECHDC2	ENSG00000121310	55268	1	UC
PFDN5	ENSG00000123349	5204	1	UC
MCAT	ENSG00000100294	27349	1	UC
ESD	ENSG00000139684	2098	1	UC
PGLS	ENSG00000130313	25796	1	UC
HADHA	ENSG00000084754	3030	1	UC
NTPCR	ENSG00000135778	84284	1	UC
CTU1	ENSG00000142544	90353	1	UC
THG1L	ENSG00000113272	54974	1	UC
ZNRD1	ENSG00000235176	30834	1	UC
HERC4	ENSG00000148634	26091	1	UC
ABCB9	ENSG00000150967	23457	1	UC
SIRT5	ENSG00000124523	23408	1	UC
GATS	ENSG00000239521	352954	1	UC
TACO1	ENSG00000136463	51204	1	UC
CKMT1B	ENSG00000237289	1159	1	UC
RARS	ENSG00000113643	5917	1	UC
PSPH	ENSG00000146733	5723	1	UC
DHX16	ENSG00000227222	8449	1	UC
RPL23A	ENSG00000198242	6147	1	UC
FICD	ENSG00000198855	11153	1	UC
AMZ2	ENSG00000262747	51321	1	UC
SRPR	ENSG00000182934	6734	1	UC
HPD	ENSG00000158104	3242	1	UC
SLC27A2	ENSG00000140284	11001	1	UC
AMZ2	ENSG00000196704	51321	1	UC
NUDT7	ENSG00000140876	283927	1	UC
NAA30	ENSG00000139977	122830	1	UC
NUDT5	ENSG00000165609	11164	1	UC
ABCB6	ENSG00000115657	10058	1	UC
C6orf205	ENSG00000237962	394263	1	UC
NOP58	ENSG00000055044	51602	1	UC
HDAC1	ENSG00000116478	3065	1	UC
QTRT1	ENSG00000213339	81890	1	UC
AGXT2	ENSG00000113492	64902	1	UC
THAP4	ENSG00000176946	51078	1	UC
ENO2	ENSG00000269528	2026	1	UC
AANAT	ENSG00000129673	15	1	UC
VARSL	ENSG00000230985	57176	1	UC
ATP6V0A1	ENSG00000033627	535	1	UC
ADD1	ENSG00000087274	118	1	UC
ATP6V0C	ENSG00000185883	527	1	UC
RBM3	ENSG00000102317	5935	1	UC
ASNA1	ENSG00000198356	439	1	UC
EIF2B2	ENSG00000119718	8892	1	UC
DHDDS	ENSG00000117682	79947	1	UC
ABCF3	ENSG00000161204	55324	1	UC
IDI1	ENSG00000067064	3422	1	UC
DHFR	ENSG00000228716	1719	1	UC
NAMPT	ENSG00000105835	10135	1	UC
MACROD2	ENSG00000172264	140733	1	UC
ARSI	ENSG00000183876	340075	1	UC
NAA20	ENSG00000173418	51126	1	UC
CKMT2	ENSG00000131730	1160	1	UC
ABCB8	ENSG00000197150	11194	1	UC
SLC2A8	ENSG00000136856	29988	1	UC
STT3B	ENSG00000163527	201595	1	UC
MDN1	ENSG00000112159	23195	1	UC
AMT	ENSG00000145020	275	1	UC
GSTT2B	ENSG00000133433	2953	1	UC
SRR	ENSG00000167720	63826	1	UC
MYH9	ENSG00000100345	4627	1	UC
MYH6	ENSG00000197616	4624	1	UC
RPS15A	ENSG00000134419	6210	1	UC
MBTPS1	ENSG00000140943	8720	1	UC
NUDT8	ENSG00000167799	254552	1	UC
AMY1B	ENSG00000174876	276	1	UC
WRNIP1	ENSG00000124535	56897	1	UC
DARS2	ENSG00000117593	55157	1	UC
CCBL1	ENSG00000171097	883	1	UC
FAM185A	ENSG00000222011	222234	1	UC
DDX27	ENSG00000124228	55661	1	UC
AS3MT	ENSG00000214435	57412	1	UC
LSM5	ENSG00000106355	23658	1	UC
AK8	ENSG00000165695	158067	1	UC
SLC5A7	ENSG00000115665	60482	1	UC
SLC5A9	ENSG00000117834	200010	1	UC
ABCD1	ENSG00000101986	215	1	UC
GALT	ENSG00000258728	2592	1	UC
ABCD3	ENSG00000117528	5825	1	UC
KDM8	ENSG00000155666	79831	1	UC
RPS27L	ENSG00000185088	51065	1	UC
CENPE	ENSG00000138778	1062	1	UC
SLC27A1	ENSG00000130304	376497	1	UC
AFG3L2	ENSG00000141385	10939	1	UC
NOP10	ENSG00000182117	55505	1	UC
FARSB	ENSG00000116120	10056	1	UC
ACAD10	ENSG00000111271	80724	1	UC
ABCA6	ENSG00000154262	23460	1	UC
BLVRB	ENSG00000090013	645	1	UC
SLC2A13	ENSG00000151229	114134	1	UC
NAA10	ENSG00000268281	8260	1	UC
ERCC6	ENSG00000225830	2074	1	UC
YBEY	ENSG00000182362	54059	1	UC
THOP1	ENSG00000172009	7064	1	UC
ABHD11	ENSG00000262947	83451	1	UC
SLC47A2	ENSG00000180638	146802	1	UC
TXN2	ENSG00000100348	25828	1	UC
ABCC1	ENSG00000103222	4363	1	UC
GSTT2	ENSG00000099984	2953	1	UC
AMY1C	ENSG00000187733	276	1	UC
NTHL1	ENSG00000065057	4913	1	UC
NDST4	ENSG00000138653	64579	1	UC
PFKFB1	ENSG00000158571	5207	1	UC
MOCS1	ENSG00000124615	4337	1	UC
OXSM	ENSG00000151093	54995	1	UC
ECH1	ENSG00000104823	1891	1	UC
RPIA	ENSG00000153574	22934	1	UC
MBTPS2	ENSG00000012174	51360	1	UC
ABCB5	ENSG00000004846	340273	1	UC
RP11-1407O15.2	ENSG00000261674	100510707	1	UC
WRN	ENSG00000165392	7486	1	UC
STEAP4	ENSG00000127954	79689	1	UC
PDSS1	ENSG00000148459	23590	1	UC
VPS29	ENSG00000111237	51699	1	UC
LIPT1	ENSG00000144182	51601	1	UC
NME1-NME2	ENSG00000243678	4831	1	UC
KCNAB1	ENSG00000169282	7881	1	UC
HMBS	ENSG00000256269	3145	1	UC
DCK	ENSG00000156136	1633	1	UC
IMPDH2	ENSG00000178035	3615	1	UC
CENPV	ENSG00000166582	201161	1	UC
DNAJA3	ENSG00000103423	9093	1	UC
MTIF3	ENSG00000122033	219402	1	UC
RPS5	ENSG00000083845	6193	1	UC
PAPL	ENSG00000183760	390928	1	UC
ABCA10	ENSG00000154263	10349	1	UC
RPS4X	ENSG00000198034	6191	1	UC
CSAD	ENSG00000139631	51380	1	UC
DUT	ENSG00000128951	1854	1	UC
CRLS1	ENSG00000088766	54675	1	UC
EPHX4	ENSG00000172031	253152	1	UC
DERA	ENSG00000023697	51071	1	UC
METTL20	ENSG00000139160	254013	1	UC
DHRS11	ENSG00000108272	79154	1	UC
GPN3	ENSG00000111231	51184	1	UC
RDH13	ENSG00000270998	112724	1	UC
NAA10	ENSG00000102030	8260	1	UC
PM20D1	ENSG00000162877	148811	1	UC
SDR16C5	ENSG00000170786	195814	1	UC
MOCS3	ENSG00000124217	27304	1	UC
MOCS2	ENSG00000164172	4338	1	UC
NDST3	ENSG00000164100	9348	1	UC
OXCT2	ENSG00000198754	64064	1	UC
ELP3	ENSG00000134014	55140	1	UC
MYH4	ENSG00000264424	4622	1	UC
RPL4	ENSG00000174444	6124	1	UC
DECR1	ENSG00000104325	1666	1	UC
HDAC10	ENSG00000100429	83933	1	UC
DIS3	ENSG00000083520	22894	1	UC
MRPS7	ENSG00000125445	51081	1	UC
ERI2	ENSG00000196678	112479	1	UC
TANGO2	ENSG00000183597	128989	1	UC
ARG1	ENSG00000118520	383	1	UC
ALDH7A1	ENSG00000164904	501	1	UC
PCSK9	ENSG00000169174	255738	1	UC
RPSAP58	ENSG00000205246	0	1	UC
RETSAT	ENSG00000042445	54884	1	UC
RPL12	ENSG00000197958	6136	1	UC
GNPDA2	ENSG00000163281	132789	1	UC
ABHD8	ENSG00000127220	79575	1	UC
EXOSC10	ENSG00000171824	5394	1	UC
HMCN2	ENSG00000148357	256158	1	UC
MRPS16	ENSG00000182180	51021	1	UC
ABCA5	ENSG00000154265	23461	1	UC
GPHN	ENSG00000171723	10243	1	UC
ABCG2	ENSG00000118777	9429	1	UC
RPL23	ENSG00000125691	9349	1	UC
RPL21	ENSG00000122026	6144	1	UC
RFC2	ENSG00000049541	5982	1	UC
MRPL2	ENSG00000112651	51069	1	UC
RPL26L1	ENSG00000037241	51121	1	UC
DHRS11	ENSG00000261508	79154	1	UC
PAICS	ENSG00000128050	10606	1	UC
GCAT	ENSG00000100116	23464	1	UC
ANKRD28	ENSG00000206560	23243	1	UC
YARS2	ENSG00000139131	51067	1	UC
NANP	ENSG00000170191	140838	1	UC
TRMT2B	ENSG00000188917	79979	1	UC
LYPLA2	ENSG00000011009	11313	1	UC
GSTT1	ENSG00000184674	2952	1	UC
GMPS	ENSG00000163655	8833	1	UC
TARS	ENSG00000113407	6897	1	UC
YBX3	ENSG00000060138	8531	1	UC
TRNT1	ENSG00000072756	51095	1	UC
SUMF1	ENSG00000144455	285362	1	UC
AMY2B	ENSG00000240038	280	1	UC
GADL1	ENSG00000144644	339896	1	UC
RPL37A	ENSG00000197756	6168	1	UC
CHD7	ENSG00000171316	55636	1	UC
RSAD1	ENSG00000136444	55316	1	UC
PRPS1	ENSG00000147224	5631	1	UC
ETFB	ENSG00000105379	2109	1	UC
COL16A1	ENSG00000084636	1307	1	UC
WARS2	ENSG00000116874	10352	1	UC
NEU1	ENSG00000228691	4758	1	UC
SQRDL	ENSG00000137767	58472	1	UC
SMC2	ENSG00000136824	10592	1	UC
ISCA1	ENSG00000135070	81689	1	UC
MGEA5	ENSG00000198408	10724	1	UC
GFPT1	ENSG00000198380	2673	1	UC
ISCA2	ENSG00000165898	122961	1	UC
GBE1	ENSG00000114480	2632	1	UC
PARP9	ENSG00000138496	83666	1	UC
SLC39A11	ENSG00000133195	201266	1	UC
NOP2	ENSG00000111641	4839	1	UC
RPS3	ENSG00000149273	6188	1	UC
UGDH	ENSG00000109814	7358	1	UC
PDHA2	ENSG00000163114	5161	1	UC
TTC6	ENSG00000139865	319089	1	UC
ADIPOR2	ENSG00000006831	79602	1	UC
PGLYRP1	ENSG00000008438	8993	1	UC
YARS	ENSG00000134684	8565	1	UC
ABHD10	ENSG00000144827	55347	1	UC
ME1	ENSG00000065833	4199	1	UC
PAPSS1	ENSG00000138801	9061	1	UC
RDH11	ENSG00000072042	51109	1	UC
ABCB4	ENSG00000005471	5244	1	UC
CLPX	ENSG00000166855	10845	1	UC
RPL35	ENSG00000136942	11224	1	UC
GSTO1	ENSG00000148834	9446	1	UC
PFDN6	ENSG00000235692	10471	1	UC
DHRS4	ENSG00000157326	10901	1	UC
FCF1	ENSG00000119616	51077	1	UC
GMPR2	ENSG00000100938	51292	1	UC
ABCC11	ENSG00000121270	85320	1	UC
HGD	ENSG00000113924	3081	1	UC
LDHAL6A	ENSG00000166800	160287	1	UC
RTN4IP1	ENSG00000130347	84816	1	UC
ATP5G3	ENSG00000154518	518	1	UC
DHX16	ENSG00000204560	8449	1	UC
RPS18	ENSG00000223367	6222	1	UC
ASL	ENSG00000126522	435	1	UC
ASNS	ENSG00000070669	440	1	UC
PRKAR1B	ENSG00000188191	5575	1	UC
PGS1	ENSG00000087157	9489	1	UC
MCCC2	ENSG00000131844	64087	1	UC
MCCC2	ENSG00000262057	64087	1	UC
PRKAR1A	ENSG00000108946	5573	1	UC
ASPDH	ENSG00000204653	554235	1	UC
ABHD6	ENSG00000163686	57406	1	UC
RHBDF2	ENSG00000129667	79651	1	UC
CLCN4	ENSG00000073464	1183	1	UC
GOT2	ENSG00000125166	2806	1	UC
ACOT11	ENSG00000162390	26027	1	UC
LAMC2	ENSG00000058085	3918	1	UC
GOLGA4	ENSG00000144674	2803	1	UC
RUVBL2	ENSG00000183207	10856	1	UC
FDPS	ENSG00000160752	2224	1	UC
ACOT2	ENSG00000119673	10965	1	UC
DDX5	ENSG00000108654	1655	1	UC
GALK1	ENSG00000108479	2584	1	UC
PGK2	ENSG00000170950	5232	1	UC
POLK	ENSG00000122008	51426	1	UC
ASCC3	ENSG00000112249	10973	1	UC
ERCC3	ENSG00000163161	2071	1	UC
HMGCLL1	ENSG00000146151	54511	1	UC
ZADH2	ENSG00000180011	284273	1	UC
ABHD11	ENSG00000106077	83451	1	UC
IDS	ENSG00000269041	3423	1	UC
ARSJ	ENSG00000180801	79642	1	UC
OXCT1	ENSG00000083720	5019	1	UC
FAU	ENSG00000149806	2197	1	UC
CYP4Z1	ENSG00000186160	199974	1	UC
POLR2C	ENSG00000102978	5432	1	UC
EFTUD2	ENSG00000108883	9343	1	UC
PPP2CA	ENSG00000113575	5515	1	UC
MYH7B	ENSG00000078814	57644	1	UC
HDAC11	ENSG00000163517	79885	1	UC
ACSF2	ENSG00000167107	80221	1	UC
ATP7B	ENSG00000123191	540	1	UC
ENGASE	ENSG00000167280	64772	1	UC
HSD17B14	ENSG00000087076	51171	1	UC
POLR2E	ENSG00000099817	5434	1	UC
GTPBP2	ENSG00000172432	54676	1	UC
VARS	ENSG00000204394	7407	1	UC
VARS	ENSG00000226589	7407	1	UC
ENO1	ENSG00000074800	2023	1	UC
VARS	ENSG00000227686	7407	1	UC
SNRNP200	ENSG00000144028	23020	1	UC
XPNPEP3	ENSG00000196236	63929	1	UC
AASS	ENSG00000008311	10157	1	UC
KCNAB3	ENSG00000170049	9196	1	UC
RPS27A	ENSG00000143947	6233	1	UC
CS	ENSG00000062485	1431	1	UC
BAAT	ENSG00000136881	570	1	UC
TMEM256	ENSG00000205544	254863	1	UC
FN3KRP	ENSG00000141560	79672	1	UC
ADI1	ENSG00000182551	55256	1	UC
GUF1	ENSG00000151806	60558	1	UC
ABCA4	ENSG00000198691	24	1	UC
ACAD11	ENSG00000240303	84129	1	UC
IL4I1	ENSG00000104951	259307	1	UC
ZNRD1	ENSG00000236808	30834	1	UC
HMGCR	ENSG00000113161	3156	1	UC
NOS1	ENSG00000089250	4842	1	UC
ZNRD1	ENSG00000235443	30834	1	UC
VCP	ENSG00000165280	7415	1	UC
CCBL2	ENSG00000137944	56267	1	UC
PAPSS2	ENSG00000198682	9060	1	UC
NAA11	ENSG00000156269	84779	1	UC
TRMT2A	ENSG00000099899	27037	1	UC
RPL32	ENSG00000144713	6161	1	UC
PFDN6	ENSG00000237335	10471	1	UC
TMEM86B	ENSG00000180089	255043	1	UC
ADPRHL2	ENSG00000116863	54936	1	UC
TARS2	ENSG00000143374	80222	1	UC
CBR4	ENSG00000145439	84869	1	UC
PFDN6	ENSG00000206283	10471	1	UC
GLRX2	ENSG00000023572	51022	1	UC
TARSL2	ENSG00000185418	123283	1	UC
BCAT1	ENSG00000060982	586	1	UC
PFKFB4	ENSG00000114268	5210	1	UC
ABCC3	ENSG00000108846	8714	1	UC
THUMPD2	ENSG00000138050	80745	1	UC
PSMC1	ENSG00000100764	5700	1	UC
SLC30A9	ENSG00000014824	10463	1	UC
THYN1	ENSG00000151500	29087	1	UC
ADSL	ENSG00000239900	158	1	UC
IMPA2	ENSG00000141401	3613	1	UC
CYB5R2	ENSG00000166394	51700	1	UC
RNMTL1	ENSG00000171861	55178	1	UC
FHIT	ENSG00000189283	2272	1	UC
SUCLA2	ENSG00000136143	8803	1	UC
AQP4	ENSG00000171885	361	1	UC
SAMM50	ENSG00000100347	25813	1	UC
IDNK	ENSG00000148057	414328	1	UC
ABCG4	ENSG00000172350	64137	1	UC
SLC23A1	ENSG00000170482	9963	1	UC
NAGS	ENSG00000161653	162417	1	UC
TMPPE	ENSG00000188167	643853	1	UC
SLC47A1	ENSG00000142494	55244	1	UC
C6orf205	ENSG00000227506	394263	1	UC
PGK1	ENSG00000269666	5230	1	UC
ZNRD1	ENSG00000224859	30834	1	UC
HAGH	ENSG00000063854	3029	1	UC
MACROD1	ENSG00000133315	28992	1	UC
SOD1	ENSG00000142168	6647	1	UC
GGT7	ENSG00000131067	2686	1	UC
KRR1	ENSG00000111615	11103	1	UC
TMBIM4	ENSG00000228144	51643	1	UC
ATIC	ENSG00000138363	471	1	UC
ABHD14B	ENSG00000114779	84836	1	UC
AKR1D1	ENSG00000122787	6718	1	UC
TATDN1	ENSG00000147687	83940	1	UC
SDHC	ENSG00000143252	6391	1	UC
CARS2	ENSG00000134905	79587	1	UC
RDH13	ENSG00000262982	112724	1	UC
RPS14	ENSG00000164587	6208	1	UC
SKIV2L2	ENSG00000039123	23517	1	UC
SERPINB4	ENSG00000206073	6318	1	UC
ATP5G2	ENSG00000135390	517	1	UC
DHRS7B	ENSG00000109016	25979	1	UC
SLC37A2	ENSG00000134955	219855	1	UC
PRKAG2	ENSG00000106617	51422	1	UC
HLCS	ENSG00000159267	3141	1	UC
ASMTL	ENSG00000169093	8623	1	UC
ASMT	ENSG00000196433	438	1	UC
DHX16	ENSG00000233049	8449	1	UC
PARL	ENSG00000175193	55486	1	UC
PRKAR2B	ENSG00000005249	5577	1	UC
STIP1	ENSG00000168439	10963	1	UC
NAT10	ENSG00000135372	55226	1	UC
NAT2	ENSG00000156006	10	1	UC
TMCO3	ENSG00000150403	55002	1	UC
GPD1	ENSG00000167588	2819	1	UC
CRYM	ENSG00000103316	1428	1	UC
AGMO	ENSG00000187546	392636	1	UC
MRPS15	ENSG00000116898	64960	1	UC
KDSR	ENSG00000119537	2531	1	UC
DHX38	ENSG00000140829	9785	1	UC
NADSYN1	ENSG00000172890	55191	1	UC
POLR3K	ENSG00000161980	51728	1	UC
TRIT1	ENSG00000043514	54802	1	UC
ATP2A3	ENSG00000074370	489	1	UC
CYP4A22	ENSG00000162365	1579	1	UC
ATP6V1B2	ENSG00000147416	526	1	UC
GPN1	ENSG00000198522	11321	1	UC
AGPAT2	ENSG00000169692	10555	1	UC
GGT1	ENSG00000100031	2678	1	UC
PNO1	ENSG00000115946	56902	1	UC
ABHD13	ENSG00000139826	84945	1	UC
ALDH1A1	ENSG00000165092	216	1	UC
CYP4V2	ENSG00000145476	285440	1	UC
SVOP	ENSG00000166111	55530	1	UC
OLAH	ENSG00000152463	55301	1	UC
TRIM71	ENSG00000206557	131405	1	UC
EPRS	ENSG00000136628	2058	1	UC
GTPBP4	ENSG00000107937	23560	1	UC
ECE1	ENSG00000117298	1889	1	UC
HMOX2	ENSG00000103415	3163	1	UC
GTPBP3	ENSG00000130299	84705	1	UC
ECHDC1	ENSG00000093144	55862	1	UC
CBR3	ENSG00000159231	874	1	UC
ACSL1	ENSG00000151726	2180	1	UC
RPS9	ENSG00000273467	6203	1	UC
POLR2G	ENSG00000168002	5436	1	UC
ERI3	ENSG00000117419	79033	1	UC
POLR2J2	ENSG00000267645	246721	1	UC
RPL10L	ENSG00000165496	140801	1	UC
HDAC3	ENSG00000171720	8841	1	UC
OMG	ENSG00000126861	4974	1	UC
GNPDA1	ENSG00000113552	10007	1	UC
SLC28A1	ENSG00000156222	9154	1	UC
GBA2	ENSG00000070610	57704	1	UC
ABAT	ENSG00000183044	18	1	UC
SH3YL1	ENSG00000035115	26751	1	UC
ABCA7	ENSG00000064687	10347	1	UC
MDH1	ENSG00000014641	4190	1	UC
DLAT	ENSG00000263032	1737	1	UC
DLAT	ENSG00000150768	1737	1	UC
GDE1	ENSG00000006007	51573	1	UC
MRPL17	ENSG00000158042	63875	1	UC
PGD	ENSG00000142657	5226	1	UC
CYP4F11	ENSG00000171903	57834	1	UC
HDHD1	ENSG00000130021	8226	1	UC
DTWD2	ENSG00000169570	285605	1	UC
CLPP	ENSG00000125656	8192	1	UC
ME3	ENSG00000151376	10873	1	UC
ABCB11	ENSG00000263298	8647	1	UC
CYP4F22	ENSG00000171954	126410	1	UC
IDS	ENSG00000241489	3423	1	UC
THNSL1	ENSG00000185875	79896	1	UC
TXN	ENSG00000136810	7295	1	UC
TMBIM4	ENSG00000155957	51643	1	UC
RPL39L	ENSG00000163923	116832	1	UC
SLC5A1	ENSG00000100170	6523	1	UC
MANBA	ENSG00000109323	4126	1	UC
ABCC10	ENSG00000124574	89845	1	UC
DLST	ENSG00000119689	1743	1	UC
KCNQ1	ENSG00000053918	3784	1	UC
APIP	ENSG00000149089	51074	1	UC
SLC5A11	ENSG00000158865	115584	1	UC
RPL3L	ENSG00000140986	6123	1	UC
VWF	ENSG00000110799	7450	1	UC
RPL5	ENSG00000122406	6083	1	UC
FGGY	ENSG00000172456	55277	1	UC
MAOB	ENSG00000069535	4129	1	UC
WARS	ENSG00000140105	7453	1	UC
CMAS	ENSG00000111726	55907	1	UC
DMGDH	ENSG00000132837	29958	1	UC
SIRT2	ENSG00000068903	22933	1	UC
ETNK2	ENSG00000143845	55224	1	UC
RPLP0	ENSG00000089157	6175	1	UC
PANK1	ENSG00000152782	53354	1	UC
ABCD2	ENSG00000173208	225	1	UC
SUCLG1	ENSG00000163541	8802	1	UC
ABCF1	ENSG00000225989	23	1	UC
ABCG1	ENSG00000160179	9619	1	UC
DHDH	ENSG00000104808	27294	1	UC
UGCG	ENSG00000148154	7357	1	UC
BOLA2B	ENSG00000169627	552900	1	UC
ABCA3	ENSG00000167972	21	1	UC
NIT2	ENSG00000114021	56954	1	UC
GXYLT2	ENSG00000172986	727936	1	UC
ABCF1	ENSG00000236149	23	1	UC
L3HYPDH	ENSG00000126790	112849	1	UC
MRPL3	ENSG00000114686	11222	1	UC
ABHD1	ENSG00000143994	84696	1	UC
DHPS	ENSG00000095059	1725	1	UC
RPL35A	ENSG00000182899	6165	1	UC
TOP3B	ENSG00000100038	8940	1	UC
SOD2	ENSG00000112096	6648	1	UC
PGM1	ENSG00000079739	5236	1	UC
ABHD14A-ACY1	ENSG00000114786	95	1	UC
NDST2	ENSG00000166507	8509	1	UC
SERPINB3	ENSG00000057149	6317	1	UC
RDH13	ENSG00000262348	112724	1	UC
TCHH	ENSG00000159450	7062	1	UC
GMPR	ENSG00000137198	2766	1	UC
RDH13	ENSG00000262163	112724	1	UC
RPS18	ENSG00000227794	6222	1	UC
LACTB2	ENSG00000147592	51110	1	UC
NDUFA12	ENSG00000184752	55967	1	UC
RPS17L	ENSG00000182774	6218	1	UC
CPSF3L	ENSG00000127054	54973	1	UC
PRKAR2A	ENSG00000114302	5576	1	UC
MEMO1	ENSG00000162959	51072	1	UC
STEAP3	ENSG00000115107	55240	1	UC
HAS3	ENSG00000103044	3038	1	UC
RDH8	ENSG00000080511	50700	1	UC
FKBP5	ENSG00000096060	2289	1	UC
SURF1	ENSG00000260692	6834	1	UC
AQP3	ENSG00000165272	360	1	UC
SURF1	ENSG00000148290	6834	1	UC
RHBDF1	ENSG00000007384	64285	1	UC
CES2	ENSG00000172831	8824	1	UC
