Chr	Start	End	UC	EM	MM
1	7435883	7454740	1	1	1
1	7500933	7503257	1	1	1
1	7828562	7833272	2	1	1
1	7840370	7848466	1	2	1
1	7879742	7888412	1	1	1
1	7909867	7918134	1	2	1
1	7998728	8004156	1	2	1
1	8008116	8036091	2	1	1
1	8081098	8094265	1	2	1
1	8265143	8268856	1	1	1
1	8351923	8354157	1	1	1
1	8375879	8381244	1	2	1
1	8484342	8487414	1	2	1
1	8571654	8573207	1	1	1
1	8873994	8880232	1	2	1
1	8937608	8940711	2	1	1
1	8943321	8945270	1	1	1
1	9003477	9012662	1	2	1
1	9082025	9091716	1	1	2
1	9135116	9145569	1	1	1
1	9148201	9150970	1	2	1
1	9186568	9194752	2	1	1
1	9205544	9214053	1	1	1
1	9294268	9299456	1	2	1
1	9336978	9341933	1	1	1
1	9350674	9357224	1	2	1
1	9598476	9613618	2	1	1
1	9648089	9649792	1	2	1
1	9882740	9887455	1	2	1
1	9908051	9918370	1	1	1
1	9953668	9964198	1	1	1
1	9966988	9976770	1	1	1
1	9990442	10021260	2	1	1
1	10085512	10094202	2	1	1
1	10221034	10226462	1	1	1
1	10252188	10273068	1	1	1
1	10355588	10362375	1	1	1
1	10445370	10461020	2	1	1
1	10489474	10494028	1	1	1
1	10494029	10510019	1	1	1
1	10517783	10519585	1	1	1
1	10531217	10535627	2	2	1
1	10731688	10744380	1	1	1
1	10751037	10767516	1	2	1
1	10781224	10787574	1	1	1
1	10844387	10859919	1	2	1
1	10912360	10929312	1	1	1
1	10957709	10966373	1	1	1
1	11039443	11046834	1	1	2
1	11065147	11085725	1	2	1
1	11085726	11113120	1	2	1
1	11113121	11122975	2	1	1
1	11158746	11163451	2	1	1
1	11192293	11204078	2	1	1
1	11210175	11212490	1	1	1
1	11228704	11246524	1	1	1
1	11248311	11249465	1	2	1
1	11285314	11287968	1	1	1
1	11321726	11322699	2	1	1
1	11529624	11539306	2	1	1
1	11705329	11717347	1	1	1
1	11722754	11727775	1	2	1
1	11750936	11763560	2	2	1
1	11793489	11797297	1	1	2
1	11820484	11826131	1	1	2
1	11837145	11851241	1	1	2
1	11864904	11872489	2	2	1
1	11879068	11884142	1	1	1
1	11901356	11913795	1	2	1
1	11917524	11920807	1	1	1
1	11953288	11974191	1	1	1
1	11980154	11990122	1	2	1
1	11990123	12006954	2	1	1
1	12034073	12041913	2	1	1
1	12065739	12080397	1	2	1
1	12115424	12127809	1	2	1
1	12137650	12141803	1	1	1
1	12225212	12232633	1	2	1
1	12288289	12294700	1	2	1
1	12566709	12567962	1	1	1
1	12627258	12642357	1	1	1
1	12673527	12691643	2	1	1
1	12700924	12716452	1	2	1
1	12773296	12776419	1	2	1
1	12794756	12801844	1	1	1
1	12801845	12807472	1	2	1
1	12832196	12836206	1	1	2
1	13839691	13841649	1	1	1
1	13905567	13912090	1	2	1
1	14019820	14033291	1	2	1
1	14099687	14108178	1	1	1
1	14217301	14221792	1	1	1
1	14448023	14452981	1	1	1
1	14924544	14927085	1	2	1
1	15474912	15486370	1	2	1
1	15495408	15502593	1	1	2
1	15572274	15577916	1	2	1
1	15659242	15665924	1	1	1
1	15667944	15673815	1	2	1
1	15722210	15736883	1	2	1
1	15763811	15767301	1	1	1
1	15779730	15788479	1	1	1
1	15826428	15855325	2	2	1
1	15855326	15870456	1	1	1
1	15908460	15915579	2	1	1
1	15932824	15936842	1	1	1
1	15942535	15948857	2	1	1
1	15985644	15986908	1	1	2
1	16008061	16023603	1	1	1
1	16059770	16064295	2	1	1
1	16064296	16081772	2	2	1
1	16081773	16086736	1	2	1
1	16170816	16186303	1	2	1
1	16232922	16239426	1	1	1
1	16321496	16331357	1	1	2
1	16331358	16347268	1	2	1
1	16358634	16372517	1	2	1
1	16395667	16408325	1	2	1
1	16467015	16485102	1	2	1
1	16485103	16490906	1	1	1
1	16516866	16525321	1	1	1
1	16538420	16542892	1	2	1
1	16542893	16543977	1	1	1
1	16555003	16560581	1	1	2
1	16560582	16564476	1	2	1
1	16677336	16682249	1	2	1
1	16763583	16765770	1	1	2
1	16765771	16774097	2	1	1
1	17297144	17307321	1	2	1
1	17336957	17340482	2	1	1
1	17370286	17387431	2	1	1
1	17441219	17449501	1	2	1
1	17530817	17533093	1	2	1
1	17573271	17575857	1	2	1
1	17624557	17635099	1	2	1
1	17728739	17733875	1	1	1
1	17751756	17766957	2	1	1
1	17773612	17779452	1	1	1
1	17864698	17872687	1	2	1
1	18080410	18082292	1	1	2
1	18426276	18441405	1	2	1
1	18504333	18508604	1	1	1
1	18806440	18810128	1	2	1
1	18955828	18960379	1	2	1
1	19180246	19189771	1	1	2
1	19219463	19229345	2	1	1
1	19281467	19284535	1	2	1
1	19531652	19537425	2	1	1
1	19575369	19581661	2	1	1
1	19631463	19651532	2	1	1
1	19810353	19813225	1	1	1
1	19834133	19846538	1	1	1
1	19852468	19871393	1	1	1
1	19922861	19925827	1	1	1
1	19965667	19968102	1	2	1
1	19986147	19994505	1	2	1
1	20125386	20135244	2	1	1
1	20140001	20141953	1	1	2
1	20194553	20209798	2	1	1
1	20247143	20260754	1	2	1
1	20301548	20307716	1	2	1
1	20444530	20457757	1	1	1
1	20458341	20473891	1	2	1
1	20478374	20481463	1	1	1
1	20503783	20504897	1	1	2
1	20509799	20518010	1	2	1
1	20615634	20620643	1	1	1
1	20644901	20650388	1	1	1
1	20809456	20815185	1	2	1
1	20815186	20837976	2	1	1
1	20878564	20884875	1	2	1
1	20914631	20916530	2	1	1
1	20957328	20968124	1	2	1
1	20986446	20993659	2	1	1
1	21037455	21049751	2	1	1
1	21049762	21060670	1	2	1
1	21064878	21072569	1	1	1
1	21112234	21114520	1	2	1
1	21167001	21172670	1	1	1
1	21314908	21317537	1	1	1
1	21491254	21509085	2	1	1
1	21592479	21598521	1	1	1
1	21619617	21627645	2	1	1
1	21670022	21674589	2	1	1
1	21827754	21849932	2	1	1
1	21904946	21937583	1	1	1
1	21989091	21997391	2	1	1
1	22108302	22111128	2	1	1
1	22137923	22169002	1	2	1
1	22263134	22276213	1	2	1
1	22378592	22379984	2	1	1
1	22466747	22478213	1	2	1
1	22883112	22898542	1	2	1
1	22962784	22972844	1	2	1
1	22974711	22980184	1	2	1
1	23035631	23038610	1	2	1
1	23072076	23078076	1	1	1
1	23150255	23167762	1	1	1
1	23283163	23292199	1	1	1
1	23339692	23351051	2	1	1
1	23487352	23489391	1	1	1
1	23489392	23491849	1	1	1
1	23498429	23509083	1	2	1
1	23521149	23521709	1	2	1
1	23668978	23672781	1	1	1
1	23695196	23708149	1	2	1
1	23749480	23753056	2	1	1
1	23805982	23815187	2	1	1
1	23851717	23859128	2	1	1
1	23884168	23886661	1	2	1
1	23903672	23918990	1	1	2
1	24016423	24020514	2	1	1
1	24065494	24076385	1	2	1
1	24102972	24113979	2	1	1
1	24116095	24117999	2	1	1
1	24118378	24129034	2	1	1
1	24190943	24206180	2	1	1
1	24206181	24218829	1	1	1
1	24283735	24287861	1	2	1
1	24292785	24308528	2	1	1
1	24387880	24394506	1	2	1
1	24434467	24443939	1	2	1
1	24469097	24474112	1	2	1
1	24505108	24516772	1	2	1
1	24644832	24657261	1	2	1
1	24742131	24742860	1	2	1
1	24742861	24745558	1	1	1
1	24796618	24807969	1	1	1
1	24828117	24830589	1	2	1
1	24869385	24884688	1	2	1
1	24956915	24958408	2	1	1
1	24992621	24996135	2	1	1
1	25065113	25079153	1	2	1
1	25098458	25111106	1	1	1
1	25236424	25237735	1	1	1
1	25273787	25293947	1	2	1
1	25531683	25536069	1	1	1
1	25549730	25582405	2	2	1
1	25669878	25676351	1	1	1
1	25755293	25761637	1	2	1
1	25869153	25874760	1	2	1
1	25938885	25949721	2	1	1
1	25977545	25994557	1	1	1
1	26122880	26129426	1	1	1
1	26138724	26156441	1	1	1
1	26179786	26191310	1	1	2
1	26195281	26207401	1	2	1
1	26231727	26235442	1	2	1
1	26276950	26290775	1	1	1
1	26322524	26326094	2	1	1
1	26331324	26342119	1	1	1
1	26342120	26347012	1	1	2
1	26370521	26381061	2	1	1
1	26386211	26397146	1	2	1
1	26436399	26441817	1	2	1
1	26482010	26491550	1	2	1
1	26495199	26499657	2	1	1
1	26499658	26520728	1	2	1
1	26554159	26561529	1	2	1
1	26567698	26577397	1	1	1
1	26604966	26606181	1	1	1
1	26643927	26645883	2	1	2
1	26677864	26685407	1	2	1
1	26690647	26702056	2	1	1
1	26733711	26742821	1	2	1
1	26756394	26765144	2	1	1
1	26793148	26796299	1	1	1
1	26796595	26803799	1	2	1
1	26855141	26864507	2	1	1
1	26877973	26882598	2	1	1
1	27018057	27027743	1	2	1
1	27112453	27115733	2	1	1
1	27147799	27154952	2	1	1
1	27188039	27194264	1	1	2
1	27194265	27205526	1	1	1
1	27215705	27222427	2	2	1
1	27222428	27228699	2	2	1
1	27238067	27264637	2	2	1
1	27285400	27287218	1	2	1
1	27323391	27353252	1	2	1
1	27559582	27562387	2	1	1
1	27634193	27636751	1	1	1
1	27643559	27651232	2	1	1
1	27651233	27652420	1	1	1
1	27667759	27678358	1	2	1
1	27680897	27713788	1	2	2
1	27714328	27723790	1	1	2
1	27814873	27820359	1	2	1
1	27840177	27856565	1	1	1
1	27928426	27931673	1	2	1
1	27992231	27997240	1	1	1
1	27997241	28009619	1	1	2
1	28051526	28056536	2	1	1
1	28092153	28100136	1	1	1
1	28150276	28159491	2	1	1
1	28160590	28162584	1	1	1
1	28184682	28203673	1	2	1
1	28238216	28248282	2	1	1
1	28251754	28264682	2	1	1
1	28284312	28303696	1	2	1
1	28408564	28415241	1	2	1
1	28461382	28475833	1	1	1
1	28511770	28522951	1	2	1
1	28522952	28531626	1	1	2
1	28549095	28561123	2	1	1
1	28561124	28564810	1	2	1
1	28584972	28592787	1	1	2
1	28634750	28665666	1	1	1
1	28689801	28697667	1	2	1
1	28800678	28809347	1	1	1
1	28826511	28875367	1	1	1
1	28875368	28879982	2	1	1
1	28888688	28906020	1	1	1
1	28906021	28906506	1	1	1
1	28906507	28910238	1	1	1
1	28914046	28927229	1	1	2
1	28968733	28983358	2	1	1
1	28983359	29010293	1	1	1
1	29014066	29021972	1	1	1
1	29062514	29066919	2	1	1
1	29125292	29145455	1	2	1
1	29197677	29207781	1	1	1
1	29210618	29232035	1	2	1
1	29443282	29453737	1	1	1
1	29477518	29490888	2	1	1
1	29505251	29512554	2	1	1
1	29544754	29551670	2	1	1
1	29555189	29557835	2	1	1
1	29558588	29567345	2	1	1
1	29573666	29580274	1	1	1
1	30113931	30119220	1	1	1
1	30355973	30358287	1	1	1
1	31188386	31193343	1	2	1
1	31193344	31205317	1	2	1
1	31225190	31231334	1	1	1
1	31327214	31331656	1	1	1
1	31379889	31383989	1	2	1
1	31405693	31421067	2	1	1
1	31421068	31424024	1	1	1
1	31439279	31444641	1	1	1
1	31537431	31538897	2	1	1
1	31698879	31716822	1	2	1
1	31765334	31773210	2	1	1
1	31810106	31826059	1	1	1
1	31846463	31854197	1	2	1
1	31881947	31884507	2	1	1
1	31966965	31973794	1	1	1
1	32035875	32051119	1	2	1
1	32083124	32095490	1	2	1
1	32106422	32114565	2	1	1
1	32118197	32135719	2	1	1
1	32169227	32176336	2	1	1
1	32226064	32230497	1	2	1
1	32246460	32255318	1	1	1
1	32378903	32383282	1	1	2
1	32410371	32420906	2	1	1
1	32477732	32487096	1	2	1
1	32532669	32543686	1	2	1
1	32573374	32575145	2	1	1
1	32642437	32645826	2	1	1
1	32661814	32670477	1	2	1
1	32670478	32671967	1	2	1
1	32671968	32694457	2	1	2
1	32711309	32716765	1	2	1
1	32716766	32718388	1	2	1
1	32753663	32762300	2	1	1
1	32787407	32788924	1	1	1
1	32794627	32814702	2	2	1
1	32814703	32825453	1	2	1
1	32825454	32836565	1	2	1
1	32860268	32865489	2	1	1
1	32928018	32936250	1	1	1
1	33004442	33006305	1	2	1
1	33113157	33116506	2	1	1
1	33116507	33119562	2	1	1
1	33160962	33172003	1	2	1
1	33186314	33201416	1	1	1
1	33201417	33221702	1	2	1
1	33273589	33294212	2	2	1
1	33331971	33341230	1	1	1
1	33347783	33380941	2	2	1
1	33427392	33431365	2	1	1
1	33546157	33562510	2	2	1
1	33645474	33649442	1	2	1
1	33718493	33725414	1	2	1
1	33771424	33781316	1	1	1
1	33895581	33904659	1	2	1
1	33905019	33907985	1	1	1
1	33924038	33938399	1	1	1
1	34325381	34335987	1	1	1
1	34628509	34635339	1	2	1
1	34640946	34643851	1	1	1
1	35131928	35138666	1	1	1
1	35219994	35224428	1	2	1
1	35224429	35238697	1	2	1
1	35243910	35244701	1	1	1
1	35244702	35261317	1	2	1
1	35314497	35319156	1	1	1
1	35319157	35326030	1	1	1
1	35392545	35396319	1	2	1
1	35405452	35410239	1	1	1
1	35450205	35451728	1	2	1
1	35479790	35503867	1	2	1
1	35524462	35531236	2	1	1
1	35656943	35666673	1	2	1
1	35733821	35735924	1	2	1
1	35772929	35781813	1	1	1
1	35831353	35840472	1	1	1
1	36015399	36028658	2	2	1
1	36037223	36043346	1	2	1
1	36045992	36062960	1	1	1
1	36106153	36107935	1	1	1
1	36183603	36185603	1	1	1
1	36203489	36211264	1	1	1
1	36261113	36277868	2	1	1
1	36326423	36339124	2	1	1
1	36388376	36402530	2	1	1
1	36538178	36558502	2	2	1
1	36588533	36600342	1	2	1
1	36612957	36628346	2	2	1
1	36689675	36690929	1	2	1
1	36771651	36800735	1	2	2
1	36848555	36852470	1	2	1
1	36858888	36863901	2	1	1
1	36863902	36875413	1	1	1
1	36883305	36888534	2	1	1
1	36915681	36920902	2	1	1
1	36927584	36939538	2	2	1
1	36948751	36953299	1	2	1
1	37230950	37242710	1	1	1
1	37494408	37508296	2	1	1
1	37937165	37944375	1	2	1
1	37979236	37981502	2	1	1
1	38021315	38023385	2	1	1
1	38055267	38061777	2	1	1
1	38097439	38121075	1	2	1
1	38156332	38160858	1	2	1
1	38214964	38217979	1	1	1
1	38229641	38231220	1	1	1
1	38258595	38264835	2	1	1
1	38266511	38269909	1	1	1
1	38269910	38276064	2	1	2
1	38324477	38328050	1	2	1
1	38348182	38352668	1	1	1
1	38401993	38413902	2	1	1
1	38444088	38459957	2	1	1
1	38469208	38479187	2	2	1
1	38510351	38514482	2	1	1
1	38561035	38567341	1	1	1
1	38787218	38803837	1	1	1
1	38860630	38862962	1	1	1
1	39323109	39328055	2	1	1
1	39346976	39352551	2	2	1
1	39386754	39395676	1	2	1
1	39395677	39412729	1	2	1
1	39448021	39458157	1	2	1
1	39542466	39548092	1	2	1
1	39584614	39593722	1	1	1
1	39720568	39724686	1	1	1
1	39876095	39876383	1	1	1
1	39950584	39970954	1	2	1
1	40021774	40035236	2	1	1
1	40038583	40043308	2	1	1
1	40096494	40101681	1	2	1
1	40104515	40112348	1	2	1
1	40136510	40139104	1	2	1
1	40146153	40157445	1	2	1
1	40157446	40157993	1	1	1
1	40237261	40256411	1	2	1
1	40347371	40353277	2	1	1
1	40362537	40364674	1	1	1
1	40364675	40374228	1	2	1
1	40493568	40511069	2	1	1
1	40560405	40564913	1	1	1
1	40623353	40629045	1	2	1
1	40637662	40648142	1	1	1
1	40711556	40713624	1	1	2
1	40721788	40737635	2	1	1
1	40747860	40748167	1	1	1
1	40764146	40786458	1	2	1
1	40808519	40817618	2	1	1
1	40901333	40917240	1	1	2
1	40934539	40943649	1	1	2
1	40970479	40975678	2	1	1
1	40980391	40991500	1	1	1
1	40996163	40998471	1	1	2
1	41120944	41131357	1	2	1
1	41155298	41159747	1	1	1
1	41212984	41230030	1	1	1
1	41246951	41251640	2	1	1
1	41321701	41332672	1	1	2
1	41435307	41445184	2	1	1
1	41478445	41491742	2	1	1
1	41701512	41721526	1	2	1
1	41821457	41833635	1	2	1
1	41833636	41844315	1	1	1
1	41947515	41953716	1	2	1
1	41996483	42007277	1	1	1
1	42493902	42508163	1	2	1
1	42613655	42625305	1	2	1
1	42626594	42634374	1	1	2
1	42844427	42849515	2	1	1
1	42920939	42923294	2	1	1
1	42925252	42930355	1	2	1
1	43032590	43040817	1	1	1
1	43120381	43125945	2	1	1
1	43146524	43150180	2	1	1
1	43204727	43209067	1	2	1
1	43218803	43223688	1	2	1
1	43223689	43239461	2	2	1
1	43239860	43244981	1	1	1
1	43281714	43283174	1	2	2
1	43309800	43312140	1	1	1
1	43312141	43314813	1	1	1
1	43423610	43426304	2	1	1
1	43449154	43467973	1	1	1
1	43480618	43489357	1	1	1
1	43608158	43611545	2	1	1
1	43634235	43649319	2	1	1
1	43724149	43732826	2	1	1
1	43733529	43747953	2	1	1
1	43765903	43769752	1	2	1
1	43794944	43813361	1	2	1
1	43824122	43834396	2	2	1
1	43850167	43855391	1	2	1
1	43855392	43858082	2	2	1
1	43884985	43887100	2	1	1
1	43908234	43920915	2	1	1
1	43976174	43992142	2	1	1
1	44102900	44129113	2	1	1
1	44160990	44171673	1	2	1
1	44172750	44176455	1	2	1
1	44176456	44182792	1	1	1
1	44190395	44205543	1	2	1
1	44395544	44403674	1	2	1
1	44405566	44414259	2	1	1
1	44425068	44437550	2	1	1
1	44440118	44441552	2	1	1
1	44441553	44456606	2	2	1
1	44456607	44458206	2	1	1
1	44494001	44506509	2	1	1
1	44584094	44585590	1	1	2
1	44678697	44684308	2	1	1
1	44714915	44717269	1	1	1
1	44795296	44800009	1	1	1
1	44815789	44830580	2	1	1
1	44856226	44857184	1	1	1
1	44870573	44879262	1	1	1
1	44984948	44990755	1	1	1
1	45136190	45140837	2	1	1
1	45182178	45187654	1	1	1
1	45194232	45197242	1	1	1
1	45199393	45209488	2	1	1
1	45238578	45241678	2	1	1
1	45241679	45243792	2	1	1
1	45243793	45250882	1	1	1
1	45250883	45256643	1	2	1
1	45264674	45275508	2	2	1
1	45277189	45294123	2	2	1
1	45301331	45310991	2	1	1
1	45451481	45454913	2	1	1
1	45476778	45482664	2	2	1
1	45787357	45799353	2	2	1
1	45805323	45806063	2	1	1
1	45806064	45807555	2	1	1
1	45822403	45828218	1	1	1
1	45955111	45957467	1	2	1
1	45957468	45967222	1	1	1
1	45987157	45995504	2	1	1
1	46012546	46017074	2	1	1
1	46040094	46049895	2	1	1
1	46088828	46095491	1	2	1
1	46134654	46154186	1	2	1
1	46212702	46240056	2	1	1
1	46250740	46263413	2	1	1
1	46511224	46515113	1	1	1
1	46597097	46599621	1	2	1
1	46636405	46641230	1	2	1
1	46641231	46646646	1	2	1
1	46668482	46671826	1	2	1
1	46685008	46687010	1	2	1
1	46687011	46715365	2	1	1
1	46763671	46771356	2	1	1
1	46805253	46806048	2	1	1
1	46859762	46860911	2	1	1
1	46968809	46972928	1	2	1
1	47004541	47012626	1	1	1
1	47012627	47024060	1	2	1
1	47081193	47085435	1	2	1
1	47136539	47140305	2	1	1
1	47183266	47194316	1	2	1
1	47221502	47225844	2	1	1
1	47642052	47645668	1	1	1
1	47647596	47658305	1	2	1
1	47687948	47692986	1	2	1
1	47693536	47713342	1	2	1
1	47792295	47800369	2	1	1
1	47871330	47889341	1	2	1
1	47889342	47901439	1	1	1
1	47901530	47914305	1	2	1
1	47966641	47971774	1	1	1
1	48084329	48091149	1	1	1
1	48685214	48689638	2	1	1
1	48933277	48954433	1	2	1
1	49103603	49115587	1	1	1
1	49239278	49244638	1	2	1
1	49511520	49515406	1	1	1
1	49616875	49619492	1	1	1
1	50485989	50489923	2	1	1
1	50512934	50515011	2	1	1
1	50640832	50646292	2	1	1
1	50687708	50704911	1	1	1
1	50887814	50904961	1	2	1
1	50926155	50928864	1	1	1
1	51006302	51016146	1	1	1
1	51033948	51036221	1	1	1
1	51045806	51048507	1	1	1
1	51094283	51103465	1	1	1
1	51165633	51167772	1	1	1
1	51213781	51220245	1	1	1
1	51424828	51426097	1	2	1
1	51426098	51427254	1	2	1
1	51650024	51658076	1	1	1
1	51690325	51701617	1	1	1
1	51701618	51707979	1	2	1
1	51726697	51731761	1	1	1
1	51807370	51812666	2	1	1
1	51841086	51852074	1	1	1
1	51923972	51932718	2	1	1
1	51982259	51990648	2	1	1
1	51990649	52005457	1	1	1
1	52037930	52042859	1	2	1
1	52185140	52193145	1	1	1
1	52253627	52265528	2	1	1
1	52301074	52302296	1	1	1
1	52343723	52349067	2	1	1
1	52455458	52463976	1	2	1
1	52497569	52500184	2	1	1
1	52505908	52518415	1	1	1
1	52521547	52524720	2	1	1
1	52594995	52608450	1	2	1
1	52827143	52832473	1	2	1
1	52869928	52871156	2	1	1
1	52871279	52880535	1	1	1
1	53010298	53033318	2	1	1
1	53058961	53070336	2	1	1
1	53085455	53103647	1	1	1
1	53191942	53193239	1	2	1
1	53261978	53278039	1	1	1
1	53308053	53312482	1	2	1
1	53390946	53397353	2	1	1
1	53525857	53538028	1	2	1
1	53575798	53581009	1	1	1
1	53605720	53610340	1	2	1
1	53660490	53666542	2	1	1
1	53672889	53681436	1	1	1
1	53685740	53689798	2	1	1
1	53699137	53705008	2	1	1
1	53724303	53755493	1	2	1
1	53770172	53771710	1	1	1
1	53790262	53797286	1	2	1
1	53923628	53926390	1	2	1
1	54141109	54157786	1	1	1
1	54199217	54200856	1	2	1
1	54233734	54237814	1	1	1
1	54300976	54320506	1	2	1
1	54350270	54363801	2	2	1
1	54407561	54423841	2	2	1
1	54478314	54494347	1	2	1
1	54517645	54534602	2	1	1
1	54605965	54629016	1	2	1
1	54637259	54638172	1	1	1
1	54648228	54650120	1	2	1
1	54660143	54666826	1	2	1
1	54686626	54692399	1	1	1
1	54702612	54706786	1	1	2
1	54750760	54753750	1	1	1
1	54875902	54879620	2	1	1
1	54985504	54994167	1	1	1
1	55000713	55017339	2	1	1
1	55087349	55097193	1	2	1
1	55100009	55109263	1	1	2
1	55178338	55182236	1	1	1
1	55226356	55234435	2	1	1
1	55242641	55261046	1	2	1
1	55262864	55269565	1	2	1
1	55269566	55283808	1	2	1
1	55348935	55354709	2	1	1
1	55437903	55452546	1	2	1
1	55456364	55458363	1	1	1
1	55458364	55468260	1	1	2
1	55491637	55506559	2	1	1
1	55679204	55689022	2	1	1
1	55862440	55867207	1	1	1
1	57104761	57115067	2	1	1
1	57281041	57288092	1	2	1
1	57288093	57293122	1	1	1
1	57318554	57321294	1	2	1
1	57425661	57430134	1	1	1
1	57430135	57434394	1	2	1
1	57454549	57458452	1	1	1
1	58218202	58225805	1	1	1
1	59011571	59017381	2	1	1
1	59038342	59045654	1	2	1
1	59164479	59168269	2	1	1
1	59245185	59253039	2	1	1
1	59758286	59764653	2	1	1
1	60254251	60261332	1	1	1
1	60275891	60282193	2	1	1
1	60390009	60398171	2	1	1
1	60537759	60543142	1	2	1
1	61326967	61331046	1	1	1
1	61436105	61444325	1	1	1
1	61718787	61721568	1	1	1
1	62176341	62201390	1	2	1
1	62202974	62209823	1	2	1
1	62276616	62282730	1	1	1
1	62316768	62325111	1	1	1
1	62573480	62589612	1	2	1
1	62757082	62766613	1	1	1
1	62777641	62791752	1	1	1
1	62901316	62904675	1	2	1
1	63051627	63064553	1	2	1
1	63153207	63156049	1	1	1
1	63247446	63250968	2	1	1
1	63368801	63370947	1	1	1
1	63769568	63792897	1	2	1
1	63826788	63834880	1	1	1
1	63985757	63989731	1	2	1
1	63997170	64004077	1	2	1
1	64014379	64017593	1	1	1
1	64056350	64060967	2	2	1
1	64236812	64242815	1	2	1
1	64484521	64495579	1	1	1
1	64636365	64646378	1	1	1
1	64665090	64681925	1	2	1
1	64933260	64938213	1	2	1
1	65205382	65211484	1	2	1
1	65418968	65434119	1	2	1
1	65481320	65492283	1	1	1
1	65521436	65524475	1	1	1
1	65610395	65615354	1	1	1
1	65712412	65721886	1	2	1
1	65880831	65885279	1	1	1
1	65885295	65894626	2	2	1
1	66032468	66037854	1	1	1
1	66255529	66266747	2	1	1
1	66512831	66519808	1	1	1
1	66558221	66563632	1	1	1
1	66994184	66999575	1	2	1
1	67138892	67143895	1	1	1
1	67217482	67220628	2	1	1
1	67264410	67275226	1	2	1
1	67282487	67298905	1	1	1
1	67389759	67391481	2	2	1
1	67517574	67533408	2	1	1
1	67565620	67570311	1	1	1
1	67593884	67600977	1	1	2
1	67621847	67634499	1	1	2
1	67661736	67663094	1	1	1
1	67695072	67706175	1	1	2
1	67733113	67736137	1	1	1
1	67749397	67777051	1	2	1
1	67878837	67884716	1	1	1
1	67895296	67901302	2	1	1
1	68006279	68007625	1	1	1
1	68149975	68154776	1	2	1
1	68235398	68242599	1	1	1
1	68296855	68307820	1	2	1
1	68516578	68525789	1	1	2
1	68647427	68652100	1	1	1
1	68696452	68707494	1	2	1
1	68911549	68921698	1	2	1
1	68940025	68945623	1	1	1
1	68962244	68966190	1	2	1
1	70030940	70036081	1	2	1
1	70494562	70498431	1	1	1
1	70609204	70613093	1	2	1
1	70666282	70674746	2	2	1
1	70686109	70688832	1	2	1
1	70701915	70704607	1	2	1
1	70819945	70824643	2	1	2
1	70824644	70827059	1	1	1
1	70875753	70879312	2	1	1
1	71403838	71419496	1	1	1
1	71509061	71515346	1	1	1
1	71530008	71535732	2	1	1
