frag	phylostrata	mainAge
chr1_115258854_115262604	2	UC
chr1_115298294_115301989	2	UC
chr1_115320764_115324429	8	EM
chr1_115394434_115400195	8	EM
chr1_115566981_115582202	8	EM
chr1_115877520_115887026	8	EM
chr1_116183788_116185504	4	EM
chr1_116513092_116520426	6	EM
chr1_116653135_116655676	8	EM
chr1_116914319_116919284	2	UC
chr1_117109278_117115886	8	EM
chr1_11722754_11727775	6	EM
chr1_117208345_117212041	8	EM
chr1_117222261_117237378	15	MM
chr1_117292351_117299605	8	EM
chr1_117450148_117454207	8	EM
chr1_11750936_11763560	5	EM
chr1_117542531_117544805	8	EM
chr1_117602664_117607113	2	UC
chr1_117662394_117665616	6	EM
chr1_1107116_1109732	5	EM
chr1_11793489_11797297	15	MM
chr1_117904560_117911575	2	UC
chr1_118143091_118150054	4	EM
chr1_11820484_11826131	12	MM
chr1_118471117_118475286	2	UC
chr1_11864904_11872489	2.33333333333333	UC
chr1_11901356_11913795	8	EM
chr1_1126526_1150969	12	MM
chr1_119680883_119688624	1	UC
chr1_11980154_11990122	4	EM
chr1_11990123_12006954	2	UC
chr1_119907842_119911992	1	UC
chr1_119955700_119958494	6	EM
chr1_120187206_120194235	10	MM
chr1_120198229_120204300	1	UC
chr1_12034073_12041913	1	UC
chr1_120309927_120314091	1	UC
chr1_120353123_120358399	9	EM
chr1_120431471_120440812	10	MM
chr1_12065739_12080397	9	EM
chr1_12225212_12232633	8	EM
chr1_12288289_12294700	4	EM
chr1_12673527_12691643	3	UC
chr1_12700924_12716452	8	EM
chr1_12773296_12776419	6	EM
chr1_1206874_1212438	2	UC
chr1_12801845_12807472	4	EM
chr1_1212439_1220554	10	MM
chr1_12832196_12836206	12	MM
chr1_1239426_1278099	3	UC
chr1_1283837_1305518	6	EM
chr1_13905567_13912090	9	EM
chr1_14019820_14033291	8	EM
chr1_1309969_1313315	5	EM
chr1_1313316_1350443	1.5	UC
chr1_14217301_14221792	5	EM
chr1_1364314_1373173	8	EM
chr1_148550889_148562038	15	MM
chr1_145725259_145730005	4	EM
chr1_145714349_145725258	12	MM
chr1_145606188_145621927	2	UC
chr1_145586351_145589481	5	EM
chr1_145569758_145575726	2	UC
chr1_145546608_145551233	2	UC
chr1_145520504_145527491	7	EM
chr1_145516283_145518649	2	UC
chr1_145513771_145516282	2	UC
chr1_145503235_145513770	2	UC
chr1_145472456_145477703	5	EM
chr1_145470529_145471227	8	EM
chr1_145451473_145470528	6	EM
chr1_145427517_145441089	8	EM
chr1_145396079_145401064	8	EM
chr1_146642039_146658439	2	UC
chr1_146707850_146725883	1.5	UC
chr1_147013180_147018348	8	EM
chr1_147138865_147143119	2	UC
chr1_147243015_147253375	8	EM
chr1_147374663_147381416	8	EM
chr1_145074317_145077348	8	EM
chr1_149781389_149784426	2	UC
chr1_149784427_149785685	2	UC
chr1_149812977_149815602	2	UC
chr1_149821721_149823965	2	UC
chr1_149848366_149858434	2	UC
chr1_149858435_149862569	1.5	UC
chr1_149878034_149894445	2	UC
chr1_149898260_149901801	2	UC
chr1_149907731_149919378	8	EM
chr1_149981982_149999914	5	EM
chr1_150038459_150040151	2	UC
chr1_150197567_150222006	2	UC
chr1_150227107_150235704	6	EM
chr1_150238754_150249500	6.5	EM
chr1_150252819_150268232	4	EM
chr1_150277789_150297885	2	UC
chr1_150335066_150345304	4	EM
chr1_150458035_150460879	1	UC
chr1_150471773_150480605	8	EM
chr1_150501621_150544031	5	EM
chr1_150545578_150547832	15	MM
chr1_150549371_150560129	4	EM
chr1_150598124_150602418	8	EM
chr1_150692032_150694111	2	UC
chr1_150734923_150741569	2	UC
chr1_150769819_150781269	2	UC
chr1_150946808_150952484	2	UC
chr1_150977625_150989820	2	UC
chr1_151029436_151039451	8	EM
chr1_151039452_151048583	5	EM
chr1_151127851_151129135	5	EM
chr1_151129153_151134274	5	EM
chr1_151134275_151143226	3	UC
chr1_151145842_151154251	8	EM
chr1_151155053_151171191	2	UC
chr1_151219410_151234036	2	UC
chr1_151246649_151254382	6	EM
chr1_151297773_151300992	2	UC
chr1_151333183_151350265	1	UC
chr1_151427825_151434308	6	EM
chr1_15474912_15486370	8	EM
chr1_151478606_151483209	8	EM
chr1_151512436_151516083	8	EM
chr1_151583021_151588065	4	EM
chr1_15495408_15502593	15	MM
chr1_151672272_151686065	2	UC
chr1_151687246_151690164	2	UC
chr1_151731826_151740226	6.5	EM
chr1_151763245_151770490	4	EM
chr1_151775480_151780089	11	MM
chr1_151793294_151807827	11	MM
chr1_151812040_151814543	13	MM
chr1_151821743_151830754	10	MM
chr1_151879964_151884233	4	EM
chr1_151964788_151970527	8	EM
chr1_152018295_152026361	9	EM
chr1_152061083_152067967	11	MM
chr1_152087286_152102360	1	UC
chr1_152130894_152132750	10	MM
chr1_152185275_152199515	2	UC
chr1_152297147_152303162	2	UC
chr1_152329974_152335495	2	UC
chr1_152386391_152386968	8	EM
chr1_15572274_15577916	5	EM
chr1_152484846_152488465	13	MM
chr1_152535423_152540397	15	MM
chr1_152550847_152552740	15	MM
chr1_152552741_152558772	15	MM
chr1_152571176_152573750	14	MM
chr1_152581785_152586804	13	MM
chr1_152678657_152681148	14	MM
chr1_152728566_152733204	7	EM
chr1_152813088_152816747	14	MM
chr1_152843096_152861125	12	MM
chr1_152878549_152884732	12	MM
chr1_152939800_152943517	13	MM
chr1_152972545_152975171	5	EM
chr1_152999403_153005218	5	EM
chr1_153174920_153183534	5	EM
chr1_153189952_153193207	12	MM
chr1_153231216_153235272	2	UC
chr1_153277202_153289103	6	EM
chr1_153315280_153325365	6	EM
chr1_153329475_153330482	9	EM
chr1_153342367_153348195	12	MM
chr1_153359241_153375485	10	MM
chr1_153387259_153389537	11	MM
chr1_153428021_153437210	12	MM
chr1_153495077_153523136	9.75	EM
chr1_153536569_153543043	10	MM
chr1_153585136_153591292	11	MM
chr1_153599452_153610732	6	EM
chr1_153621935_153636394	4	EM
chr1_153636395_153649058	4	EM
chr1_153649059_153654305	2	UC
chr1_153743839_153751414	11	MM
chr1_153893802_153902760	4	EM
chr1_153917401_153921883	2	UC
chr1_153923538_153935288	8	EM
chr1_15722210_15736883	4	EM
chr1_153936971_153941439	5	EM
chr1_153941440_153950377	4	EM
chr1_153956792_153974010	4.5	EM
chr1_154123245_154133703	2	UC
chr1_154171924_154179648	5	EM
chr1_154191252_154201714	4.5	EM
chr1_154376485_154380520	8	EM
chr1_154473486_154475771	9.5	EM
chr1_154529331_154539787	2	UC
chr1_154539788_154542003	7	EM
chr1_154596617_154601605	5	EM
chr1_154831781_154845885	2	UC
chr1_154893404_154930322	4.5	EM
chr1_154931357_154937470	6	EM
chr1_154937471_154948600	3	UC
chr1_154953506_154955903	2	UC
chr1_154955904_154962767	2	UC
chr1_154962768_154966649	12	MM
chr1_154968506_154982940	8	EM
chr1_155003921_155013781	6	EM
chr1_155013782_155025327	11	MM
chr1_155095258_155101200	8	EM
chr1_155106895_155107880	2	UC
chr1_155107987_155110405	2	UC
chr1_155110904_155137257	2	UC
chr1_155178223_155179854	1.5	UC
chr1_155219223_155237483	2	UC
chr1_155246372_155256254	2	UC
chr1_155274518_155280101	1	UC
chr1_155290566_155305109	8	EM
chr1_155649989_155662591	4	EM
chr1_15908460_15915579	1	UC
chr1_155819269_155829608	5	EM
chr1_155878379_155883676	4	EM
chr1_155903675_155912810	6.5	EM
chr1_156011183_156025678	3.33333333333333	EM
chr1_156027629_156033680	8	EM
chr1_156038290_156072478	2	UC
chr1_156107982_156121315	10	MM
chr1_15942535_15948857	2	UC
chr1_156159422_156166495	2	UC
chr1_156171594_156193276	3	UC
chr1_156208305_156216308	8	EM
chr1_156216309_156218479	4	EM
chr1_156252139_156252835	4.5	EM
chr1_156252836_156253714	5	EM
chr1_156305797_156317165	11	MM
chr1_156336818_156341592	1	UC
chr1_156393868_156401172	15	MM
chr1_156467805_156490786	2	UC
chr1_156542064_156544514	2	UC
chr1_156548152_156549805	4	EM
chr1_15985644_15986908	10	MM
chr1_156582371_156589766	8	EM
chr1_156595211_156618276	6	EM
chr1_156668090_156682728	8	EM
chr1_156696068_156699449	3.5	EM
chr1_156707018_156715899	1	UC
chr1_156715900_156723106	4	EM
chr1_156736011_156736869	8	EM
chr1_156778196_156789753	7	EM
chr1_156828053_156831113	4	EM
chr1_156861611_156869031	2	UC
chr1_156881919_156903177	4	EM
chr1_1505407_1516638	2	UC
chr1_157014823_157029617	4	EM
chr1_157106060_157108821	9	EM
chr1_16059770_16064295	2	UC
chr1_16064296_16081772	8	EM
chr1_157507278_157532770	11	MM
chr1_16081773_16086736	8	EM
chr1_157564489_157567841	11	MM
chr1_157567842_157569015	11	MM
chr1_157788282_157791022	12	MM
chr1_157864702_157872394	11	MM
chr1_157959598_157965344	6	EM
chr1_158149089_158156432	9	EM
chr1_158220701_158225852	12	MM
chr1_158301274_158301582	12	MM
chr1_158366214_158371033	6	EM
chr1_158389946_158390992	10	MM
chr1_16170816_16186303	4	EM
chr1_158449249_158453102	11	MM
chr1_158532916_158533816	11	MM
chr1_158540120_158551841	11	MM
chr1_158677775_158689204	11	MM
chr1_158798262_158801263	12	MM
chr1_158898553_158901861	12	MM
chr1_158955834_158972247	12	MM
chr1_159135977_159142424	8	EM
chr1_159249689_159260390	11	MM
chr1_159283104_159288739	11	MM
chr1_159408575_159410659	11	MM
chr1_159504607_159509887	12	MM
chr1_159557037_159559660	8	EM
chr1_159749526_159753587	1	UC
chr1_159768852_159774121	12	MM
chr1_159793198_159817661	11	MM
chr1_159822784_159839684	10	MM
chr1_159893559_159897813	6	EM
chr1_159905502_159916307	6	EM
chr1_16321496_16331357	12	MM
chr1_159922674_159926759	11	MM
chr1_159999853_160005078	2	UC
chr1_16331358_16347268	8	EM
chr1_160037481_160041607	8	EM
chr1_160065149_160070212	8	EM
chr1_160077389_160095302	2	UC
chr1_160119385_160123791	2	UC
chr1_160150193_160165896	5	EM
chr1_160172248_160175765	8	EM
chr1_160227453_160235266	2	UC
chr1_160255058_160260819	2	UC
chr1_16358634_16372517	8	EM
chr1_160305096_160314806	2	UC
chr1_160330433_160344885	5	EM
chr1_160368453_160372113	4	EM
chr1_160492674_160495811	12	MM
chr1_160548847_160554584	8	EM
chr1_160615694_160616805	9	EM
chr1_160616806_160628001	9	EM
chr1_16395667_16408325	8	EM
chr1_160680987_160683126	10	MM
chr1_160703462_160714814	12	MM
chr1_160764655_160771334	9	EM
chr1_160830605_160832704	12	MM
chr1_160850290_160854981	7	EM
chr1_160921494_160946244	7	EM
chr1_161014904_161016196	6	EM
chr1_1545983_1552729	5	EM
chr1_161037045_161052923	8	EM
chr1_161067306_161076002	5	EM
chr1_161077236_161092374	1.5	UC
chr1_161097841_161106025	8	EM
chr1_161119503_161135966	2	UC
chr1_161135967_161164078	3.5	EM
chr1_161164079_161175399	3	UC
chr1_161181137_161187572	8	EM
chr1_161191376_161194328	11	MM
chr1_161194329_161208294	6.5	EM
chr1_161279245_161283730	8	EM
chr1_161283731_161291518	1	UC
chr1_16467015_16485102	4	EM
chr1_161475215_161475902	12	MM
chr1_161674767_161677875	12	MM
chr1_161688463_161695703	10	MM
chr1_161719355_161719971	2	UC
chr1_161730087_161738988	4	EM
chr1_162037369_162059915	5	EM
chr1_16538420_16542892	8	EM
chr1_16560582_16564476	4	EM
chr1_162333421_162337861	8	EM
chr1_162346428_162349957	9	EM
chr1_162368596_162382109	8	EM
chr1_162461812_162468672	5	EM
chr1_162518511_162532617	1	UC
chr1_163033835_163040438	7	EM
chr1_163231512_163239501	2	UC
chr1_163287138_163293552	7	EM
chr1_16677336_16682249	4	EM
chr1_16763583_16765770	12	MM
chr1_16765771_16774097	2	UC
chr1_164522786_164525236	2	UC
chr1_165325652_165330318	3	UC
chr1_165413327_165420819	4	EM
chr1_165595523_165601808	2	UC
chr1_165667631_165668780	1	UC
chr1_165796567_165798584	1.5	UC
chr1_166133818_166139815	7	EM
chr1_166802120_166812240	2	UC
chr1_166840743_166852491	4	EM
chr1_166943297_166950891	7	EM
chr1_167060384_167066526	8	EM
chr1_167187457_167198973	6	EM
chr1_167521892_167524978	2	UC
chr1_167597892_167601065	8	EM
chr1_167690219_167692255	8	EM
chr1_167883044_167896876	2	UC
chr1_167903557_167906918	2	UC
chr1_168147251_168151549	2	UC
chr1_168191721_168196054	2	UC
chr1_168697806_168701048	5	EM
chr1_169070988_169080524	4	EM
chr1_169330748_169340984	3	UC
chr1_169427810_169430405	4	EM
chr1_169452881_169463128	2	UC
chr1_169547926_169559316	4	EM
chr1_17297144_17307321	8	EM
chr1_169676589_169682401	5	EM
chr1_169763395_169765497	2	UC
chr1_169856423_169865865	4	EM
chr1_17336957_17340482	2	UC
chr1_17370286_17387431	1	UC
chr1_170496959_170507422	2	UC
chr1_170628770_170638013	6	EM
chr1_170897520_170904764	10	MM
chr1_17441219_17449501	8	EM
chr1_171215330_171220342	1	UC
chr1_171281897_171284626	9	EM
chr1_171454475_171457478	6	EM
chr1_171707468_171712374	2	UC
chr1_171750038_171751187	1	UC
chr1_17530817_17533093	8	EM
chr1_172387710_172398056	12	MM
chr1_172410203_172413803	2	UC
chr1_17573271_17575857	8	EM
chr1_17575858_17584126	8	EM
chr1_172499181_172503403	2	UC
chr1_17624557_17635099	8	EM
chr1_173175862_173177205	9	EM
chr1_173446162_173447978	1	UC
chr1_173676841_173686744	4	EM
chr1_173792836_173793707	3	UC
chr1_173793708_173796178	3	UC
chr1_173833171_173838808	8	EM
chr1_173884346_173890652	8	EM
chr1_173988669_173994478	4	EM
chr1_174127094_174132879	4	EM
chr1_17751756_17766957	2	UC
chr1_174416833_174419263	8	EM
chr1_174965882_174969671	2	UC
chr1_174988242_175009625	1	UC
chr1_175036045_175037091	2	UC
chr1_17864698_17872687	5	EM
chr1_175706692_175713072	2	UC
chr1_176175280_176183158	2	UC
chr1_177136538_177141961	8	EM
chr1_18080410_18082292	12	MM
chr1_1709350_1729790	1	UC
chr1_178061630_178066304	5	EM
chr1_178481614_178484885	12	MM
chr1_178500099_178517683	15	MM
chr1_178691659_178696167	4	EM
chr1_178832411_178842619	6	EM
chr1_178991018_178996493	5	EM
chr1_179043494_179052963	8	EM
chr1_179196747_179205715	5	EM
chr1_179262740_179264073	2	UC
chr1_179327211_179337053	4	EM
chr1_179541611_179550322	8	EM
chr1_179550323_179562626	5	EM
chr1_179841501_179850506	8	EM
chr1_179922323_179932433	4	EM
chr1_180119332_180128501	2	UC
chr1_180195525_180203724	6	EM
chr1_180471076_180472609	2	UC
chr1_180579784_180609122	2	UC
chr1_180874955_180883137	5	EM
chr1_18426276_18441405	8	EM
chr1_180988853_180992383	2	UC
chr1_181002457_181004704	8	EM
chr1_181045928_181059662	6	EM
chr1_181378390_181385100	2	UC
chr1_182022246_182036793	12	MM
chr1_182354704_182363894	1	UC
chr1_182366080_182374429	12	MM
chr1_182557133_182558476	9	EM
chr1_182567651_182590376	8	EM
chr1_182757765_182764391	1	UC
chr1_182805931_182812261	2	UC
chr1_182989144_182996819	1	UC
chr1_183603949_183607660	3	UC
chr1_183617847_183623243	9	EM
chr1_184354472_184358823	7	EM
chr1_184723626_184725585	4	EM
chr1_18806440_18810128	8	EM
chr1_184942210_184950629	8	EM
chr1_185013354_185017963	2	UC
chr1_185119561_185131508	5	EM
chr1_185284681_185295856	6	EM
chr1_185699171_185712502	1	UC
chr1_18955828_18960379	6	EM
chr1_186263121_186266799	8	EM
chr1_186342515_186349386	2	UC
chr1_186427513_186430980	8	EM
chr1_186791283_186805083	5	EM
chr1_19180246_19189771	10	MM
chr1_19219463_19229345	1	UC
chr1_1820953_1830463	2	UC
chr1_19281467_19284535	8	EM
chr1_190442990_190448135	8	EM
chr1_1842635_1852429	8	EM
chr1_19531652_19537425	2	UC
chr1_192126749_192132199	8	EM
chr1_19575369_19581661	2	UC
chr1_192543821_192547525	2	UC
chr1_192604110_192606784	10	MM
chr1_192774793_192779385	8	EM
chr1_19631463_19651532	2	UC
chr1_193025896_193031393	1.5	UC
chr1_193073030_193078995	1	UC
chr1_193078996_193092305	2	UC
chr1_193155464_193155851	5	EM
chr1_19965667_19968102	4	EM
chr1_19986147_19994505	8	EM
chr1_196574453_196578767	5	EM
chr1_196618683_196622049	9	EM
chr1_196939982_196948038	15	MM
chr1_197035639_197053771	9	EM
chr1_197112800_197121691	2	UC
chr1_197167880_197169415	8	EM
chr1_197169416_197180141	8	EM
chr1_197867166_197874611	1	UC
chr1_197874612_197883295	4	EM
chr1_20140001_20141953	11	MM
chr1_198125236_198128040	2	UC
chr1_198501177_198511316	9	EM
chr1_20194553_20209798	2	UC
chr1_20247143_20260754	9	EM
chr1_20301548_20307716	5	EM
chr1_199996284_199999730	4	EM
chr1_200363886_200384460	8	EM
chr1_200588010_200591661	5	EM
chr1_200638522_200638874	2	UC
chr1_200638875_200642313	2	UC
chr1_200704973_200710789	2	UC
chr1_200841100_200846127	8	EM
chr1_200847010_200860398	8	EM
chr1_201076237_201085829	2	UC
chr1_201153844_201164734	8	EM
chr1_201251703_201258480	8	EM
chr1_20458341_20473891	4	EM
chr1_201344848_201355708	6	EM
chr1_201366622_201374522	8	EM
chr1_201430507_201445015	8	EM
chr1_201591931_201593065	4	EM
chr1_20503783_20504897	11	MM
chr1_201796737_201798955	2	UC
chr1_20509799_20518010	4	EM
chr1_201852705_201864621	8	EM
chr1_201914619_201919078	8	EM
chr1_201922926_201925200	2	UC
chr1_201944567_201958492	8	EM
chr1_202107479_202133224	5	EM
chr1_202149187_202172385	6	EM
chr1_202308088_202318205	3.5	EM
chr1_202678949_202682974	4	EM
chr1_202775897_202782528	2	UC
chr1_202887995_202897870	2	UC
chr1_202926054_202928210	1	UC
chr1_202933959_202937358	1	UC
chr1_202976042_202976994	5	EM
chr1_202988778_202999244	4	EM
chr1_203135462_203145716	8	EM
chr1_203150753_203158668	10	MM
chr1_203239241_203243454	1	UC
chr1_203268404_203277227	6	EM
chr1_203319882_203323128	8	EM
chr1_203459656_203475784	8	EM
chr1_203595621_203609271	2	UC
chr1_203720009_203741285	10	MM
chr1_203760674_203765855	3	UC
chr1_203825444_203835041	2	UC
chr1_204117901_204126526	1	UC
chr1_204378332_204383548	8	EM
chr1_204462957_204467369	2	UC
chr1_204485125_204486493	8	EM
chr1_204651455_204656718	6	EM
chr1_204796984_204800152	4	EM
chr1_20809456_20815185	8	EM
chr1_20815186_20837976	2	UC
chr1_1980724_1991491	4	EM
chr1_205090640_205097323	2	UC
chr1_20878564_20884875	8	EM
chr1_205592907_205601455	6	EM
chr1_205714903_205723887	8	EM
chr1_205778111_205783431	1	UC
chr1_205817489_205819573	1	UC
chr1_20914631_20916530	1	UC
chr1_205911652_205916009	9	EM
chr1_206314485_206324803	2	UC
chr1_206304035_206308163	12	MM
chr1_206222001_206227056	9	EM
chr1_20957328_20968124	4	EM
chr1_206639384_206655726	5	EM
chr1_206667457_206676538	14	MM
chr1_206680498_206684374	7	EM
chr1_20986446_20993659	2	UC
chr1_206784719_206788448	2	UC
chr1_206808181_206809188	2	UC
chr1_206846623_206862925	4	EM
chr1_206945005_206946550	8	EM
chr1_206971832_206976797	10	MM
chr1_207038127_207044657	8	EM
chr1_207068595_207073429	10	MM
chr1_207114942_207135528	8	EM
chr1_207142387_207145582	10	MM
chr1_207203372_207209098	4.5	EM
chr1_207223480_207226065	2	UC
chr1_207226202_207226352	2	UC
chr1_207226353_207229089	2	UC
chr1_207260202_207272701	11	MM
chr1_207275723_207277802	8	EM
chr1_21037455_21049751	2	UC
chr1_21049762_21060670	8	EM
chr1_207491500_207495827	11	MM
chr1_207626422_207631615	10	MM
chr1_207659875_207672993	5	EM
chr1_207922749_207925841	12	MM
chr1_21112234_21114520	8	EM
chr1_208081978_208089426	9	EM
chr1_208411486_208418750	4	EM
chr1_209756686_209758171	2	UC
chr1_209823579_209826397	8	EM
chr1_209848320_209852873	8	EM
chr1_209856272_209862015	1	UC
chr1_209917292_209934418	9	EM
chr1_209955276_209959693	5	EM
chr1_209975584_209980570	8	EM
chr1_210000236_210003562	2	UC
chr1_210111223_210115636	8	EM
chr1_210403921_210408280	10	MM
chr1_211431240_211438658	4	EM
chr1_211492935_211503273	2	UC
chr1_211663078_211674002	4	EM
chr1_211744661_211769011	2	UC
chr1_21491254_21509085	2	UC
chr1_211848363_211851509	2	UC
chr1_212003251_212009013	6	EM
chr1_212207624_212208813	4	EM
chr1_212208814_212217647	3	UC
chr1_212456635_212461673	2	UC
chr1_212583008_212588513	8	EM
chr1_212605695_212625891	2	UC
chr1_212730395_212744161	3	UC
chr1_212797173_212806521	10	MM
chr1_212871489_212874427	8	EM
chr1_212964495_212974780	4.5	EM
chr1_213023955_213037233	2	UC
chr1_213119706_213124490	2	UC
chr1_213184840_213190655	2	UC
chr1_213220932_213224570	4	EM
chr1_213224571_213229950	4	EM
chr1_21670022_21674589	1	UC
chr1_214155807_214157994	6	EM
chr1_214448985_214466335	2	UC
chr1_214775801_214777074	1	UC
chr1_215176817_215181140	8	EM
chr1_215739671_215746413	4	EM
chr1_216595169_216596800	5	EM
chr1_217305462_217317614	4	EM
chr1_217804009_217813300	3.5	EM
chr1_22108302_22111128	2	UC
chr1_218450627_218462653	2	UC
chr1_218516401_218521986	7	EM
chr1_219345885_219348317	4	EM
chr1_22263134_22276213	4	EM
chr1_220130130_220132335	2	UC
chr1_220214228_220224682	1	UC
chr1_220260540_220279170	1	UC
chr1_220443630_220447347	2	UC
chr1_22378592_22379984	3	UC
chr1_220699108_220708844	2	UC
chr1_220951694_220962880	1	UC
chr1_221051343_221058921	5	EM
chr1_22466747_22478213	5	EM
chr1_221910905_221918304	2	UC
chr1_2155766_2166195	4	EM
chr1_222762923_222764546	4	EM
chr1_222788116_222792009	6	EM
chr1_222876630_222892130	2	UC
chr1_222909496_222912566	10	MM
chr1_223878060_223894473	2	UC
chr1_224032489_224034632	5	EM
chr1_224297641_224324758	6	EM
chr1_224357606_224378386	2	UC
chr1_224510175_224524807	2	UC
chr1_224543448_224546174	2	UC
chr1_224617641_224631198	5	EM
chr1_22769967_22778410	8	EM
chr1_22778411_22788069	8	EM
chr1_225077886_225085579	2	UC
chr1_225613778_225616609	2	UC
chr1_225616610_225618195	2	UC
chr1_22883112_22898542	4	EM
chr1_225963986_225965688	2	UC
chr1_225965689_225976698	2	UC
chr1_225996792_226001567	3	UC
chr1_226062947_226070974	2	UC
chr1_226098282_226100464	7	EM
chr1_226110293_226136406	4	EM
chr1_226186235_226202244	2	UC
chr1_226246277_226250969	2	UC
chr1_226364150_226376557	4	EM
chr1_226403445_226414449	9	EM
chr1_22962784_22972844	8	EM
chr1_226594644_226601149	2	UC
chr1_22974711_22980184	9	EM
chr1_226912771_226933958	4	EM
chr1_227055367_227058995	2	UC
chr1_23035631_23038610	4	EM
chr1_227748098_227751788	2	UC
chr1_228128025_228136144	6	EM
chr1_228193804_228205554	5	EM
chr1_228264821_228272613	2	UC
chr1_228284922_228293541	2	UC
chr1_228326248_228354840	4.5	EM
chr1_228386110_228399081	1	UC
chr1_228399082_228402631	15	MM
chr1_228587629_228602025	8	EM
chr1_228602451_228610237	12	MM
chr1_228610767_228613289	14	MM
chr1_228637113_228649738	2	UC
chr1_228656412_228682399	12	MM
chr1_228870040_228874954	6	EM
chr1_229406345_229407837	2	UC
chr1_229439373_229440739	14	MM
chr1_229477418_229479257	4	EM
chr1_229562492_229571968	2	UC
chr1_229692817_229697283	1	UC
chr1_229759689_229763411	4.5	EM
chr1_23339692_23351051	2	UC
chr1_230557519_230564046	6	EM
chr1_230766387_230778752	2	UC
chr1_230879505_230883594	2	UC
chr1_230991032_231009181	6	EM
chr1_231110663_231130167	2	UC
chr1_231174383_231177605	8	EM
chr1_231293104_231315367	4	EM
chr1_231372947_231381939	1	UC
chr1_231471476_231473844	2.5	UC
chr1_231555189_231560978	1	UC
chr1_231663379_231668764	2	UC
chr1_231759856_231766875	8	EM
chr1_23498429_23509083	8	EM
chr1_23521149_23521709	6	EM
chr1_232696487_232699460	2	UC
chr1_232939599_232944353	4	EM
chr1_233078995_233087058	1	UC
chr1_233743115_233757019	5	EM
chr1_23695196_23708149	6	EM
chr1_234039939_234045364	4	EM
chr1_23749480_23753056	2	UC
chr1_234603097_234616699	2	UC
chr1_234740384_234749444	6	EM
chr1_23805982_23815187	2	UC
chr1_235290218_235295119	3	UC
chr1_23851717_23859128	2	UC
chr1_235488356_235497673	2.5	UC
chr1_235527256_235530753	2	UC
chr1_23884168_23886661	8	EM
chr1_235811321_235821594	8	EM
chr1_23903672_23918990	15	MM
chr1_236046789_236051432	4	EM
chr1_236222973_236230649	4	EM
