chr1	start1	end1	chr2	start2	end2	frag1	frag2	bait_name	otherEnd_name
1	6597457	6614861	1	6746419	6763387	1_6597457_6614861	1_6746419_6763387	NOL9;RNU6-731P;RP11-58A11.2	DNAJC11
1	6614862	6634284	1	6669510	6675892	1_6614862_6634284	1_6669510_6675892	TAS1R1	KLHL21;PHF13
1	6614862	6634284	1	6683584	6688403	1_6614862_6634284	1_6683584_6688403	TAS1R1	THAP3
1	6635296	6647590	1	6669510	6675892	1_6635296_6647590	1_6669510_6675892	ZBTB48	KLHL21;PHF13
1	6635296	6647590	1	6683584	6688403	1_6635296_6647590	1_6683584_6688403	ZBTB48	THAP3
1	6669510	6675892	1	6258535	6274327	1_6669510_6675892	1_6258535_6274327	KLHL21;PHF13	RNF207;RP1-120G22.11;RPL22
1	6669510	6675892	1	6597457	6614861	1_6669510_6675892	1_6597457_6614861	KLHL21;PHF13	NOL9;RNU6-731P;RP11-58A11.2
1	6669510	6675892	1	6614862	6634284	1_6669510_6675892	1_6614862_6634284	KLHL21;PHF13	TAS1R1
1	6669510	6675892	1	6683584	6688403	1_6669510_6675892	1_6683584_6688403	KLHL21;PHF13	THAP3
1	6669510	6675892	1	38156332	38160858	1_6669510_6675892	1_38156332_38160858	KLHL21;PHF13	C1orf109;CDCA8
1	6683584	6688403	1	6597457	6614861	1_6683584_6688403	1_6597457_6614861	THAP3	NOL9;RNU6-731P;RP11-58A11.2
1	6683584	6688403	1	6614862	6634284	1_6683584_6688403	1_6614862_6634284	THAP3	TAS1R1
1	8081098	8094265	1	8375879	8381244	1_8081098_8094265	1_8375879_8381244	ERRFI1;RP11-431K24.1	SLC45A1
1	8375879	8381244	1	8081098	8094265	1_8375879_8381244	1_8081098_8094265	SLC45A1	ERRFI1;RP11-431K24.1
1	8484342	8487414	1	8873994	8880232	1_8484342_8487414	1_8873994_8880232	RERE;RP5-1115A15.1	RERE
1	11113121	11122975	1	11793489	11797297	1_11113121_11122975	1_11793489_11797297	SRM	AGTRAP
1	11158746	11163451	1	11793489	11797297	1_11158746_11163451	1_11793489_11797297	EXOSC10;RP4-635E18.6	AGTRAP
1	11321726	11322699	1	10531217	10535627	1_11321726_11322699	1_10531217_10535627	MTOR	DFFA;PEX14
1	11321726	11322699	1	11065147	11085725	1_11321726_11322699	1_11065147_11085725	MTOR	TARDBP
1	11321726	11322699	1	11158746	11163451	1_11321726_11322699	1_11158746_11163451	MTOR	EXOSC10;RP4-635E18.6
1	11321726	11322699	1	11722754	11727775	1_11321726_11322699	1_11722754_11727775	MTOR	FBXO6
1	11321726	11322699	1	11793489	11797297	1_11321726_11322699	1_11793489_11797297	MTOR	AGTRAP
1	11321726	11322699	1	11980154	11990122	1_11321726_11322699	1_11980154_11990122	MTOR	KIAA2013
1	11321726	11322699	1	12034073	12041913	1_11321726_11322699	1_12034073_12041913	MTOR	MFN2
1	11722754	11727775	1	11039443	11046834	1_11722754_11727775	1_11039443_11046834	FBXO6	C1orf127
1	11722754	11727775	1	11065147	11085725	1_11722754_11727775	1_11065147_11085725	FBXO6	TARDBP
1	11722754	11727775	1	11113121	11122975	1_11722754_11727775	1_11113121_11122975	FBXO6	SRM
1	11722754	11727775	1	11158746	11163451	1_11722754_11727775	1_11158746_11163451	FBXO6	EXOSC10;RP4-635E18.6
1	11722754	11727775	1	11192293	11204078	1_11722754_11727775	1_11192293_11204078	FBXO6	MTOR-AS1;MTOR
1	11722754	11727775	1	11321726	11322699	1_11722754_11727775	1_11321726_11322699	FBXO6	MTOR
1	11793489	11797297	1	11113121	11122975	1_11793489_11797297	1_11113121_11122975	AGTRAP	SRM
1	11793489	11797297	1	11158746	11163451	1_11793489_11797297	1_11158746_11163451	AGTRAP	EXOSC10;RP4-635E18.6
1	11793489	11797297	1	11321726	11322699	1_11793489_11797297	1_11321726_11322699	AGTRAP	MTOR
1	11820484	11826131	1	11039443	11046834	1_11820484_11826131	1_11039443_11046834	C1orf167	C1orf127
1	11820484	11826131	1	11158746	11163451	1_11820484_11826131	1_11158746_11163451	C1orf167	EXOSC10;RP4-635E18.6
1	11820484	11826131	1	11192293	11204078	1_11820484_11826131	1_11192293_11204078	C1orf167	MTOR-AS1;MTOR
1	11820484	11826131	1	11248311	11249465	1_11820484_11826131	1_11248311_11249465	C1orf167	ANGPTL7
1	11864904	11872489	1	11158746	11163451	1_11864904_11872489	1_11158746_11163451	CLCN6;MTHFR	EXOSC10;RP4-635E18.6
1	11864904	11872489	1	11980154	11990122	1_11864904_11872489	1_11980154_11990122	CLCN6;MTHFR	KIAA2013
1	11864904	11872489	1	12034073	12041913	1_11864904_11872489	1_12034073_12041913	CLCN6;MTHFR	MFN2
1	11901356	11913795	1	11039443	11046834	1_11901356_11913795	1_11039443_11046834	NPPA-AS1;NPPA	C1orf127
1	11901356	11913795	1	11158746	11163451	1_11901356_11913795	1_11158746_11163451	NPPA-AS1;NPPA	EXOSC10;RP4-635E18.6
1	11901356	11913795	1	11192293	11204078	1_11901356_11913795	1_11192293_11204078	NPPA-AS1;NPPA	MTOR-AS1;MTOR
1	11901356	11913795	1	11248311	11249465	1_11901356_11913795	1_11248311_11249465	NPPA-AS1;NPPA	ANGPTL7
1	11901356	11913795	1	11980154	11990122	1_11901356_11913795	1_11980154_11990122	NPPA-AS1;NPPA	KIAA2013
1	11901356	11913795	1	12034073	12041913	1_11901356_11913795	1_12034073_12041913	NPPA-AS1;NPPA	MFN2
1	12034073	12041913	1	11321726	11322699	1_12034073_12041913	1_11321726_11322699	MFN2	MTOR
1	12288289	12294700	1	12034073	12041913	1_12288289_12294700	1_12034073_12041913	VPS13D	MFN2
1	14019820	14033291	1	13905567	13912090	1_14019820_14033291	1_13905567_13912090	PRDM2;SCARNA11	PDPN
1	15474912	15486370	1	15495408	15502593	1_15474912_15486370	1_15495408_15502593	TMEM51-AS1;TMEM51	C1orf195
1	15908460	15915579	1	15985644	15986908	1_15908460_15915579	1_15985644_15986908	AGMAT	RSC1A1
1	15908460	15915579	1	16059770	16064295	1_15908460_15915579	1_16059770_16064295	AGMAT	RP11-288I21.1;SLC25A34
1	15908460	15915579	1	16081773	16086736	1_15908460_15915579	1_16081773_16086736	AGMAT	FBLIM1
1	15942535	15948857	1	15985644	15986908	1_15942535_15948857	1_15985644_15986908	DDI2	RSC1A1
1	15942535	15948857	1	16059770	16064295	1_15942535_15948857	1_16059770_16064295	DDI2	RP11-288I21.1;SLC25A34
1	15942535	15948857	1	16081773	16086736	1_15942535_15948857	1_16081773_16086736	DDI2	FBLIM1
1	16059770	16064295	1	15667944	15673815	1_16059770_16064295	1_15667944_15673815	RP11-288I21.1;SLC25A34	FHAD1;RP3-467K16.2
1	16059770	16064295	1	15985644	15986908	1_16059770_16064295	1_15985644_15986908	RP11-288I21.1;SLC25A34	RSC1A1
1	16064296	16081772	1	15667944	15673815	1_16064296_16081772	1_15667944_15673815	RP11-169K16.4;SLC25A34;TMEM82	FHAD1;RP3-467K16.2
1	16064296	16081772	1	15985644	15986908	1_16064296_16081772	1_15985644_15986908	RP11-169K16.4;SLC25A34;TMEM82	RSC1A1
1	16358634	16372517	1	15985644	15986908	1_16358634_16372517	1_15985644_15986908	CLCNKB;RP11-5P18.10	RSC1A1
1	16358634	16372517	1	16081773	16086736	1_16358634_16372517	1_16081773_16086736	CLCNKB;RP11-5P18.10	FBLIM1
1	16358634	16372517	1	16538420	16542892	1_16358634_16372517	1_16538420_16542892	CLCNKB;RP11-5P18.10	ARHGEF19
1	16358634	16372517	1	16560582	16564476	1_16358634_16372517	1_16560582_16564476	CLCNKB;RP11-5P18.10	RSG1
1	16395667	16408325	1	16560582	16564476	1_16395667_16408325	1_16560582_16564476	FAM131C	RSG1
1	16467015	16485102	1	16395667	16408325	1_16467015_16485102	1_16395667_16408325	EPHA2;RP11-276H7.2	FAM131C
1	16555003	16560581	1	16395667	16408325	1_16555003_16560581	1_16395667_16408325	C1orf134	FAM131C
1	16560582	16564476	1	16395667	16408325	1_16560582_16564476	1_16395667_16408325	RSG1	FAM131C
1	17370286	17387431	1	17573271	17575857	1_17370286_17387431	1_17573271_17575857	SDHB	PADI3
1	17441219	17449501	1	17573271	17575857	1_17441219_17449501	1_17573271_17575857	PADI2	PADI3
1	17573271	17575857	1	17441219	17449501	1_17573271_17575857	1_17441219_17449501	PADI3	PADI2
1	19219463	19229345	1	19281467	19284535	1_19219463_19229345	1_19281467_19284535	ALDH4A1;MIR1290	IFFO2
1	19219463	19229345	1	19531652	19537425	1_19219463_19229345	1_19531652_19537425	ALDH4A1;MIR1290	RP1-43E13.2;UBR4
1	19281467	19284535	1	19219463	19229345	1_19281467_19284535	1_19219463_19229345	IFFO2	ALDH4A1;MIR1290
1	19281467	19284535	1	19531652	19537425	1_19281467_19284535	1_19531652_19537425	IFFO2	RP1-43E13.2;UBR4
1	19531652	19537425	1	19219463	19229345	1_19531652_19537425	1_19219463_19229345	RP1-43E13.2;UBR4	ALDH4A1;MIR1290
1	19531652	19537425	1	19986147	19994505	1_19531652_19537425	1_19986147_19994505	RP1-43E13.2;UBR4	HTR6
1	19575369	19581661	1	19219463	19229345	1_19575369_19581661	1_19219463_19229345	EMC1;MRTO4	ALDH4A1;MIR1290
1	19575369	19581661	1	19531652	19537425	1_19575369_19581661	1_19531652_19537425	EMC1;MRTO4	RP1-43E13.2;UBR4
1	19575369	19581661	1	19965667	19968102	1_19575369_19581661	1_19965667_19968102	EMC1;MRTO4	NBL1
1	19575369	19581661	1	19986147	19994505	1_19575369_19581661	1_19986147_19994505	EMC1;MRTO4	HTR6
1	19631463	19651532	1	19965667	19968102	1_19631463_19651532	1_19965667_19968102	AKR7A2;PQLC2;RN7SL85P;RNU6-1099P	NBL1
1	19631463	19651532	1	19986147	19994505	1_19631463_19651532	1_19986147_19994505	AKR7A2;PQLC2;RN7SL85P;RNU6-1099P	HTR6
1	20247143	20260754	1	20458341	20473891	1_20247143_20260754	1_20458341_20473891	PLA2G2E	PLA2G2F
1	20247143	20260754	1	20809456	20815185	1_20247143_20260754	1_20809456_20815185	PLA2G2E	CAMK2N1
1	20301548	20307716	1	20458341	20473891	1_20301548_20307716	1_20458341_20473891	PLA2G2A	PLA2G2F
1	20301548	20307716	1	20503783	20504897	1_20301548_20307716	1_20503783_20504897	PLA2G2A	PLA2G2C
1	20301548	20307716	1	20809456	20815185	1_20301548_20307716	1_20809456_20815185	PLA2G2A	CAMK2N1
1	20458341	20473891	1	20247143	20260754	1_20458341_20473891	1_20247143_20260754	PLA2G2F	PLA2G2E
1	20458341	20473891	1	20301548	20307716	1_20458341_20473891	1_20301548_20307716	PLA2G2F	PLA2G2A
1	20503783	20504897	1	20247143	20260754	1_20503783_20504897	1_20247143_20260754	PLA2G2C	PLA2G2E
1	20509799	20518010	1	20247143	20260754	1_20509799_20518010	1_20247143_20260754	UBXN10-AS1;UBXN10	PLA2G2E
1	20509799	20518010	1	20809456	20815185	1_20509799_20518010	1_20809456_20815185	UBXN10-AS1;UBXN10	CAMK2N1
1	20809456	20815185	1	20247143	20260754	1_20809456_20815185	1_20247143_20260754	CAMK2N1	PLA2G2E
1	20815186	20837976	1	29555189	29557835	1_20815186_20837976	1_29555189_29557835	MUL1	MECR
1	21619617	21627645	1	20986446	20993659	1_21619617_21627645	1_20986446_20993659	ECE1;RP5-1071N3.1	DDOST;KIF17
1	21619617	21627645	1	21112234	21114520	1_21619617_21627645	1_21112234_21114520	ECE1;RP5-1071N3.1	HP1BP3
1	21619617	21627645	1	21670022	21674589	1_21619617_21627645	1_21670022_21674589	ECE1;RP5-1071N3.1	ECE1
1	21619617	21627645	1	22108302	22111128	1_21619617_21627645	1_22108302_22111128	ECE1;RP5-1071N3.1	USP48
1	22378592	22379984	1	21112234	21114520	1_22378592_22379984	1_21112234_21114520	CDC42	HP1BP3
1	22378592	22379984	1	21670022	21674589	1_22378592_22379984	1_21670022_21674589	CDC42	ECE1
1	22378592	22379984	1	22108302	22111128	1_22378592_22379984	1_22108302_22111128	CDC42	USP48
1	22962784	22972844	1	22466747	22478213	1_22962784_22972844	1_22466747_22478213	C1QA;C1QC	WNT4
1	22974711	22980184	1	22466747	22478213	1_22974711_22980184	1_22466747_22478213	C1QB	WNT4
1	23884168	23886661	1	24065494	24076385	1_23884168_23886661	1_24065494_24076385	ID3	TCEB3
1	24102972	24113979	1	24283735	24287861	1_24102972_24113979	1_24283735_24287861	PITHD1;RP5-886K2.3	CNR2;PNRC2
1	24118378	24129034	1	24283735	24287861	1_24118378_24129034	1_24283735_24287861	GALE;LYPLA2	CNR2;PNRC2
1	24505108	24516772	1	24742131	24742860	1_24505108_24516772	1_24742131_24742860	IFNLR1	NIPAL3;STPG1
1	24505108	24516772	1	24828117	24830589	1_24505108_24516772	1_24828117_24830589	IFNLR1	RCAN3
1	24505108	24516772	1	24869385	24884688	1_24505108_24516772	1_24869385_24884688	IFNLR1	NCMAP;RP4-594I10.3
1	24505108	24516772	1	24992621	24996135	1_24505108_24516772	1_24992621_24996135	IFNLR1	snoU13;SRRM1
1	24742131	24742860	1	24469097	24474112	1_24742131_24742860	1_24469097_24474112	NIPAL3;STPG1	IL22RA1
1	24742131	24742860	1	24505108	24516772	1_24742131_24742860	1_24505108_24516772	NIPAL3;STPG1	IFNLR1
1	24956915	24958408	1	24469097	24474112	1_24956915_24958408	1_24469097_24474112	SRRM1	IL22RA1
1	24956915	24958408	1	24742131	24742860	1_24956915_24958408	1_24742131_24742860	SRRM1	NIPAL3;STPG1
1	26322524	26326094	1	25938885	25949721	1_26322524_26326094	1_25938885_25949721	PAFAH2	MAN1C1
1	26322524	26326094	1	26231727	26235442	1_26322524_26326094	1_26231727_26235442	PAFAH2	MIR3917;STMN1
1	26436399	26441817	1	26690647	26702056	1_26436399_26441817	1_26690647_26702056	PDIK1L	ZNF683
1	26436399	26441817	1	26733711	26742821	1_26436399_26441817	1_26733711_26742821	PDIK1L	LIN28A
1	26482010	26491550	1	26690647	26702056	1_26482010_26491550	1_26690647_26702056	FAM110D	ZNF683
1	26495199	26499657	1	26677864	26685407	1_26495199_26499657	1_26677864_26685407	RP11-96L14.7;ZNF593	AIM1L
1	26495199	26499657	1	26690647	26702056	1_26495199_26499657	1_26690647_26702056	RP11-96L14.7;ZNF593	ZNF683
1	26499658	26520728	1	26677864	26685407	1_26499658_26520728	1_26677864_26685407	CATSPER4;CNKSR1	AIM1L
1	26499658	26520728	1	26690647	26702056	1_26499658_26520728	1_26690647_26702056	CATSPER4;CNKSR1	ZNF683
1	26499658	26520728	1	26733711	26742821	1_26499658_26520728	1_26733711_26742821	CATSPER4;CNKSR1	LIN28A
1	26677864	26685407	1	26495199	26499657	1_26677864_26685407	1_26495199_26499657	AIM1L	RP11-96L14.7;ZNF593
1	26690647	26702056	1	26436399	26441817	1_26690647_26702056	1_26436399_26441817	ZNF683	PDIK1L
1	26690647	26702056	1	26482010	26491550	1_26690647_26702056	1_26482010_26491550	ZNF683	FAM110D
1	26690647	26702056	1	26495199	26499657	1_26690647_26702056	1_26495199_26499657	ZNF683	RP11-96L14.7;ZNF593
1	26733711	26742821	1	26436399	26441817	1_26733711_26742821	1_26436399_26441817	LIN28A	PDIK1L
1	27018057	27027743	1	27112453	27115733	1_27018057_27027743	1_27112453_27115733	ARID1A;RP5-968P14.2	PIGV
1	27112453	27115733	1	26855141	26864507	1_27112453_27115733	1_26855141_26864507	PIGV	RPS6KA1
1	27112453	27115733	1	27018057	27027743	1_27112453_27115733	1_27018057_27027743	PIGV	ARID1A;RP5-968P14.2
1	27147799	27154952	1	26482010	26491550	1_27147799_27154952	1_26482010_26491550	ZDHHC18	FAM110D
1	27147799	27154952	1	26643927	26645883	1_27147799_27154952	1_26643927_26645883	ZDHHC18	CD52;UBXN11
1	27147799	27154952	1	26796595	26803799	1_27147799_27154952	1_26796595_26803799	ZDHHC18	HMGN2
1	27147799	27154952	1	26855141	26864507	1_27147799_27154952	1_26855141_26864507	ZDHHC18	RPS6KA1
1	27147799	27154952	1	26877973	26882598	1_27147799_27154952	1_26877973_26882598	ZDHHC18	MIR1976;RPS6KA1
1	27147799	27154952	1	27018057	27027743	1_27147799_27154952	1_27018057_27027743	ZDHHC18	ARID1A;RP5-968P14.2
1	27147799	27154952	1	27112453	27115733	1_27147799_27154952	1_27112453_27115733	ZDHHC18	PIGV
1	27147799	27154952	1	27188039	27194264	1_27147799_27154952	1_27188039_27194264	ZDHHC18	SFN
1	27147799	27154952	1	27215705	27222427	1_27147799_27154952	1_27215705_27222427	ZDHHC18	GPATCH3;GPN2
1	27147799	27154952	1	27222428	27228699	1_27147799_27154952	1_27222428_27228699	ZDHHC18	GPATCH3;NUDC
1	27147799	27154952	1	27559582	27562387	1_27147799_27154952	1_27559582_27562387	ZDHHC18	RP11-40H20.4;WDTC1
1	27147799	27154952	1	27643559	27651232	1_27147799_27154952	1_27643559_27651232	ZDHHC18	TMEM222
1	27147799	27154952	1	28150276	28159491	1_27147799_27154952	1_28150276_28159491	ZDHHC18	PPP1R8;RNU6-1245P
1	27147799	27154952	1	28408564	28415241	1_27147799_27154952	1_28408564_28415241	ZDHHC18	EYA3
1	27285400	27287218	1	26796595	26803799	1_27285400_27287218	1_26796595_26803799	C1orf172	HMGN2
1	27643559	27651232	1	27928426	27931673	1_27643559_27651232	1_27928426_27931673	TMEM222	AHDC1
1	27667759	27678358	1	27928426	27931673	1_27667759_27678358	1_27928426_27931673	SYTL1	AHDC1
1	27714328	27723790	1	27928426	27931673	1_27714328_27723790	1_27928426_27931673	GPR3;RP1-144C9.2	AHDC1
1	27928426	27931673	1	27559582	27562387	1_27928426_27931673	1_27559582_27562387	AHDC1	RP11-40H20.4;WDTC1
1	27928426	27931673	1	27643559	27651232	1_27928426_27931673	1_27643559_27651232	AHDC1	TMEM222
1	27928426	27931673	1	27667759	27678358	1_27928426_27931673	1_27667759_27678358	AHDC1	SYTL1
1	27928426	27931673	1	27680897	27713788	1_27928426_27931673	1_27680897_27713788	AHDC1	CD164L2;FCN3;MAP3K6
1	27928426	27931673	1	27714328	27723790	1_27928426_27931673	1_27714328_27723790	AHDC1	GPR3;RP1-144C9.2
1	27928426	27931673	1	27814873	27820359	1_27928426_27931673	1_27814873_27820359	AHDC1	WASF2
1	27997241	28009619	1	27643559	27651232	1_27997241_28009619	1_27643559_27651232	IFI6;RNU6-949P	TMEM222
1	27997241	28009619	1	27667759	27678358	1_27997241_28009619	1_27667759_27678358	IFI6;RNU6-949P	SYTL1
1	27997241	28009619	1	27714328	27723790	1_27997241_28009619	1_27714328_27723790	IFI6;RNU6-949P	GPR3;RP1-144C9.2
1	27997241	28009619	1	28150276	28159491	1_27997241_28009619	1_28150276_28159491	IFI6;RNU6-949P	PPP1R8;RNU6-1245P
1	28184682	28203673	1	28408564	28415241	1_28184682_28203673	1_28408564_28415241	THEMIS2	EYA3
1	28522952	28531626	1	28408564	28415241	1_28522952_28531626	1_28408564_28415241	AL353354.1;AL353354.2	EYA3
1	28549095	28561123	1	28408564	28415241	1_28549095_28561123	1_28408564_28415241	DNAJC8	EYA3
1	28968733	28983358	1	29062514	29066919	1_28968733_28983358	1_29062514_29066919	RNU11;RP11-442N24__B.1;TAF12	YTHDF2
1	28968733	28983358	1	29505251	29512554	1_28968733_28983358	1_29505251_29512554	RNU11;RP11-442N24__B.1;TAF12	SRSF4
1	29062514	29066919	1	28968733	28983358	1_29062514_29066919	1_28968733_28983358	YTHDF2	RNU11;RP11-442N24__B.1;TAF12
1	29062514	29066919	1	29505251	29512554	1_29062514_29066919	1_29505251_29512554	YTHDF2	SRSF4
1	29210618	29232035	1	29505251	29512554	1_29210618_29232035	1_29505251_29512554	EPB41	SRSF4
1	29505251	29512554	1	29062514	29066919	1_29505251_29512554	1_29062514_29066919	SRSF4	YTHDF2
1	29505251	29512554	1	31188386	31193343	1_29505251_29512554	1_31188386_31193343	SRSF4	MATN1-AS1;MATN1
1	29544754	29551670	1	31188386	31193343	1_29544754_29551670	1_31188386_31193343	MECR;RP11-467D18.2	MATN1-AS1;MATN1
1	29555189	29557835	1	20815186	20837976	1_29555189_29557835	1_20815186_20837976	MECR	MUL1
1	29555189	29557835	1	31188386	31193343	1_29555189_29557835	1_31188386_31193343	MECR	MATN1-AS1;MATN1
1	29555189	29557835	1	31193344	31205317	1_29555189_29557835	1_31193344_31205317	MECR	MATN1-AS1;MATN1
1	29558588	29567345	1	31188386	31193343	1_29558588_29567345	1_31188386_31193343	PTPRU	MATN1-AS1;MATN1
1	29558588	29567345	1	31379889	31383989	1_29558588_29567345	1_31379889_31383989	PTPRU	SDC3
1	29558588	29567345	1	31881947	31884507	1_29558588_29567345	1_31881947_31884507	PTPRU	SERINC2
1	31188386	31193343	1	29544754	29551670	1_31188386_31193343	1_29544754_29551670	MATN1-AS1;MATN1	MECR;RP11-467D18.2
1	31188386	31193343	1	29555189	29557835	1_31188386_31193343	1_29555189_29557835	MATN1-AS1;MATN1	MECR
1	31188386	31193343	1	29558588	29567345	1_31188386_31193343	1_29558588_29567345	MATN1-AS1;MATN1	PTPRU
1	31188386	31193343	1	31379889	31383989	1_31188386_31193343	1_31379889_31383989	MATN1-AS1;MATN1	SDC3
1	31193344	31205317	1	29555189	29557835	1_31193344_31205317	1_29555189_29557835	MATN1-AS1;MATN1	MECR
1	31193344	31205317	1	31379889	31383989	1_31193344_31205317	1_31379889_31383989	MATN1-AS1;MATN1	SDC3
1	31193344	31205317	1	31405693	31421067	1_31193344_31205317	1_31405693_31421067	MATN1-AS1;MATN1	PUM1;SNORD103A
1	31379889	31383989	1	29544754	29551670	1_31379889_31383989	1_29544754_29551670	SDC3	MECR;RP11-467D18.2
1	31379889	31383989	1	29555189	29557835	1_31379889_31383989	1_29555189_29557835	SDC3	MECR
1	31379889	31383989	1	29558588	29567345	1_31379889_31383989	1_29558588_29567345	SDC3	PTPRU
1	31379889	31383989	1	31188386	31193343	1_31379889_31383989	1_31188386_31193343	SDC3	MATN1-AS1;MATN1
1	31379889	31383989	1	31193344	31205317	1_31379889_31383989	1_31193344_31205317	SDC3	MATN1-AS1;MATN1
1	31405693	31421067	1	29544754	29551670	1_31405693_31421067	1_29544754_29551670	PUM1;SNORD103A	MECR;RP11-467D18.2
1	31405693	31421067	1	31188386	31193343	1_31405693_31421067	1_31188386_31193343	PUM1;SNORD103A	MATN1-AS1;MATN1
1	31405693	31421067	1	31193344	31205317	1_31405693_31421067	1_31193344_31205317	PUM1;SNORD103A	MATN1-AS1;MATN1
